offering_id,course_id,section_id,required_sessions,session_duration,student_count
O0001,C001,S_CSE_1_A,4,1,65
O0002,C002,S_CSE_1_A,3,1,65
O0003,C003,S_CSE_1_A,3,1,65
O0004,C004,S_CSE_1_A,2,1,65
O0005,C005,S_CSE_1_A,4,1,65
O0006,C006,S_CSE_1_A,1,2,65
O0007,C007,S_CSE_1_A,1,2,65
O0008,C001,S_ECE_1_A,4,1,65
O0009,C002,S_ECE_1_A,3,1,65
O0010,C003,S_ECE_1_A,3,1,65
O0011,C004,S_ECE_1_A,2,1,65
O0012,C005,S_ECE_1_A,4,1,65
O0013,C006,S_ECE_1_A,1,2,65
O0014,C007,S_ECE_1_A,1,2,65
O0015,C001,S_AIML_1_A,4,1,60
O0016,C002,S_AIML_1_A,3,1,60
O0017,C003,S_AIML_1_A,3,1,60
O0018,C004,S_AIML_1_A,2,1,60
O0019,C005,S_AIML_1_A,4,1,60
O0020,C006,S_AIML_1_A,1,2,60
O0021,C007,S_AIML_1_A,1,2,60
O0022,C001,S_AR_1_A,4,1,60
O0023,C002,S_AR_1_A,3,1,60
O0024,C003,S_AR_1_A,3,1,60
O0025,C004,S_AR_1_A,2,1,60
O0026,C005,S_AR_1_A,4,1,60
O0027,C006,S_AR_1_A,1,2,60
O0028,C007,S_AR_1_A,1,2,60
O0029,C008,S_CSE_2_A,4,1,65
O0030,C009,S_CSE_2_A,2,1,65
O0031,C010,S_CSE_2_A,4,1,65
O0032,C011,S_CSE_2_A,3,1,65
O0033,C012,S_CSE_2_A,3,1,65
O0034,C013,S_CSE_2_A,1,2,65
O0035,C008,S_ECE_2_A,4,1,65
O0036,C009,S_ECE_2_A,2,1,65
O0037,C021,S_ECE_2_A,4,1,65
O0038,C022,S_ECE_2_A,4,1,65
O0039,C023,S_ECE_2_A,3,1,65
O0040,C024,S_ECE_2_A,1,2,65
O0041,C008,S_AIML_2_A,4,1,60
O0042,C009,S_AIML_2_A,2,1,60
O0043,C032,S_AIML_2_A,4,1,60
O0044,C033,S_AIML_2_A,4,1,60
O0045,C034,S_AIML_2_A,3,1,60
O0046,C035,S_AIML_2_A,1,2,60
O0047,C008,S_AR_2_A,4,1,60
O0048,C009,S_AR_2_A,2,1,60
O0049,C043,S_AR_2_A,4,1,60
O0050,C044,S_AR_2_A,4,1,60
O0051,C045,S_AR_2_A,3,1,60
O0052,C046,S_AR_2_A,1,2,60
O0053,C054,S_CSE_3_A,2,1,65
O0054,C056,S_CSE_3_A,2,1,65
