dataset,field,dtype,required,description
universities,university_id,object,True,Synthetic dataset field
universities,university_name,object,True,Synthetic dataset field
universities,campus,object,True,Synthetic dataset field
universities,academic_year,object,True,Synthetic dataset field
departments,department_id,object,True,Synthetic dataset field
departments,department_name,object,True,Synthetic dataset field
programs,program_id,object,True,Synthetic dataset field
programs,program_code,object,True,Synthetic dataset field
programs,program_name,object,True,Synthetic dataset field
programs,department_id,object,True,Synthetic dataset field
programs,degree,object,True,Synthetic dataset field
programs,duration_years,int64,True,Synthetic dataset field
academic_terms,term_id,object,True,Synthetic dataset field
academic_terms,academic_year,object,True,Synthetic dataset field
academic_terms,term_type,object,True,Synthetic dataset field
academic_terms,start_date,object,True,Synthetic dataset field
academic_terms,end_date,object,True,Synthetic dataset field
sections,section_id,object,True,Synthetic dataset field
sections,program_id,object,True,Synthetic dataset field
sections,year,int64,True,Synthetic dataset field
sections,section_name,object,True,Synthetic dataset field
sections,student_count,int64,True,Synthetic dataset field
students,student_id,object,True,Synthetic dataset field
students,student_name,object,True,Synthetic dataset field
students,program_id,object,True,Synthetic dataset field
students,branch,object,True,Synthetic dataset field
students,year,int64,True,Synthetic dataset field
students,section_id,object,True,Synthetic dataset field
time_slots,slot_id,object,True,Synthetic dataset field
time_slots,day,object,True,Synthetic dataset field
time_slots,period_number,int64,True,Synthetic dataset field
time_slots,start_time,object,True,Synthetic dataset field
time_slots,end_time,object,True,Synthetic dataset field
time_slots,is_break,bool,True,Synthetic dataset field
courses,course_id,object,True,Synthetic dataset field
courses,course_code,object,True,Synthetic dataset field
courses,course_name,object,True,Synthetic dataset field
courses,department_id,object,True,Synthetic dataset field
courses,course_type,object,True,Synthetic dataset field
courses,course_category,object,True,Synthetic dataset field
courses,credits,int64,True,Synthetic dataset field
courses,weekly_hours,int64,True,Synthetic dataset field
courses,sessions_per_week,int64,True,Synthetic dataset field
courses,session_duration,int64,True,Synthetic dataset field
courses,requires_lab,bool,True,Synthetic dataset field
courses,required_room_type,object,True,Synthetic dataset field
courses,min_room_capacity,int64,True,Synthetic dataset field
courses,equipment_required,object,True,Synthetic dataset field
faculty,faculty_id,object,True,Synthetic dataset field
faculty,name,object,True,Synthetic dataset field
faculty,department_id,object,True,Synthetic dataset field
faculty,designation,object,True,Synthetic dataset field
faculty,employment_type,object,True,Synthetic dataset field
faculty,max_hours_per_week,int64,True,Synthetic dataset field
faculty,max_hours_per_day,int64,True,Synthetic dataset field
faculty,min_hours_per_week,int64,True,Synthetic dataset field
faculty_courses,faculty_id,object,True,Synthetic dataset field
faculty_courses,course_id,object,True,Synthetic dataset field
faculty_courses,qualification_level,object,True,Synthetic dataset field
faculty_courses,preferred,bool,True,Synthetic dataset field
faculty_availability,faculty_id,object,True,Synthetic dataset field
faculty_availability,slot_id,object,True,Synthetic dataset field
faculty_availability,available,bool,True,Synthetic dataset field
faculty_availability,preference_score,int64,True,Synthetic dataset field
rooms,room_id,object,True,Synthetic dataset field
rooms,room_name,object,True,Synthetic dataset field
rooms,building,object,True,Synthetic dataset field
rooms,floor,int64,True,Synthetic dataset field
rooms,room_type,object,True,Synthetic dataset field
rooms,capacity,int64,True,Synthetic dataset field
rooms,has_projector,bool,True,Synthetic dataset field
rooms,has_computers,bool,True,Synthetic dataset field
rooms,has_ac,bool,True,Synthetic dataset field
rooms,equipment,object,True,Synthetic dataset field
room_availability,room_id,object,True,Synthetic dataset field
room_availability,slot_id,object,True,Synthetic dataset field
room_availability,available,bool,True,Synthetic dataset field
course_offerings,offering_id,object,True,Synthetic dataset field
course_offerings,course_id,object,True,Synthetic dataset field
course_offerings,section_id,object,True,Synthetic dataset field
course_offerings,required_sessions,int64,True,Synthetic dataset field
course_offerings,session_duration,int64,True,Synthetic dataset field
course_offerings,student_count,int64,True,Synthetic dataset field
elective_groups,elective_group_id,object,True,Synthetic dataset field
elective_groups,group_name,object,True,Synthetic dataset field
elective_groups,elective_type,object,True,Synthetic dataset field
elective_groups,year,int64,True,Synthetic dataset field
elective_groups,program_scope,object,True,Synthetic dataset field
elective_groups,minimum_choices,int64,True,Synthetic dataset field
elective_groups,maximum_choices,int64,True,Synthetic dataset field
elective_groups,synchronized,bool,True,Synthetic dataset field
elective_group_courses,elective_group_id,object,True,Synthetic dataset field
elective_group_courses,course_id,object,True,Synthetic dataset field
student_enrollments,student_id,object,True,Synthetic dataset field
student_enrollments,course_id,object,True,Synthetic dataset field
student_enrollments,enrollment_type,object,True,Synthetic dataset field
fixed_events,event_id,object,True,Synthetic dataset field
fixed_events,event_name,object,True,Synthetic dataset field
fixed_events,day,object,True,Synthetic dataset field
fixed_events,start_time,object,True,Synthetic dataset field
fixed_events,end_time,object,True,Synthetic dataset field
fixed_events,scope,object,True,Synthetic dataset field
academic_rules,rule_id,object,True,Synthetic dataset field
academic_rules,rule_name,object,True,Synthetic dataset field
academic_rules,rule_type,object,True,Synthetic dataset field
academic_rules,value,object,True,Synthetic dataset field
academic_rules,active,object,True,Synthetic dataset field
