faculty_id,course_id,qualification_level,preferred
F001,C001,SECONDARY,False
F001,C005,PRIMARY,True
F001,C010,PRIMARY,False
F001,C011,PRIMARY,True
F001,C012,PRIMARY,False
F001,C013,PRIMARY,False
F001,C014,PRIMARY,True
F001,C015,PRIMARY,True
F001,C016,PRIMARY,True
F001,C017,PRIMARY,True
F001,C018,PRIMARY,False
F001,C019,PRIMARY,True
F001,C020,PRIMARY,True
F001,C029,SECONDARY,True
F001,C037,SECONDARY,False
F001,C052,SECONDARY,False
F001,C059,PRIMARY,False
F001,C060,PRIMARY,False
F001,C063,PRIMARY,True
F001,C065,SECONDARY,False
F002,C005,PRIMARY,True
F002,C010,PRIMARY,True
F002,C011,PRIMARY,True
F002,C012,PRIMARY,True
F002,C013,PRIMARY,False
F002,C014,PRIMARY,False
F002,C015,PRIMARY,False
F002,C016,PRIMARY,True
F002,C017,PRIMARY,False
F002,C018,PRIMARY,True
F002,C019,PRIMARY,True
F002,C020,PRIMARY,True
F002,C024,SECONDARY,False
F002,C043,SECONDARY,False
F002,C052,SECONDARY,False
F002,C054,SECONDARY,True
F002,C058,SECONDARY,True
F002,C059,PRIMARY,False
F002,C060,PRIMARY,True
F002,C063,PRIMARY,False
F003,C001,SECONDARY,True
F003,C005,PRIMARY,True
F003,C007,SECONDARY,False
F003,C010,PRIMARY,False
F003,C011,PRIMARY,False
F003,C012,PRIMARY,False
F003,C013,PRIMARY,True
F003,C014,PRIMARY,True
F003,C015,PRIMARY,False
F003,C016,PRIMARY,True
F003,C017,PRIMARY,True
F003,C018,PRIMARY,True
F003,C019,PRIMARY,True
F003,C020,PRIMARY,True
F003,C021,SECONDARY,False
F003,C035,SECONDARY,True
F003,C042,SECONDARY,False
F003,C059,PRIMARY,False
F003,C060,PRIMARY,False
F003,C063,PRIMARY,False
F004,C004,SECONDARY,True
F004,C005,PRIMARY,False
F004,C012,PRIMARY,True
F004,C014,PRIMARY,True
F004,C016,PRIMARY,False
F004,C018,PRIMARY,True
F004,C036,SECONDARY,True
F004,C063,PRIMARY,False
F005,C005,PRIMARY,True
F005,C010,PRIMARY,False
F005,C011,PRIMARY,False
F005,C012,PRIMARY,True
F005,C013,PRIMARY,True
F005,C014,PRIMARY,False
F005,C015,PRIMARY,False
F005,C016,PRIMARY,True
F005,C017,PRIMARY,True
F005,C018,PRIMARY,True
F005,C019,PRIMARY,True
F005,C020,PRIMARY,True
F005,C028,SECONDARY,False
F005,C044,SECONDARY,True
F005,C045,SECONDARY,True
F005,C055,SECONDARY,True
F005,C057,SECONDARY,False
F005,C059,PRIMARY,True
F005,C060,PRIMARY,False
F005,C063,PRIMARY,False
F006,C005,PRIMARY,True
F006,C010,PRIMARY,False
F006,C011,PRIMARY,False
F006,C012,PRIMARY,False
F006,C013,PRIMARY,False
F006,C014,PRIMARY,False
F006,C015,PRIMARY,True
F006,C016,PRIMARY,True
F006,C017,PRIMARY,True
F006,C018,PRIMARY,True
F006,C019,PRIMARY,False
F006,C020,PRIMARY,True
F006,C043,SECONDARY,True
F006,C044,SECONDARY,True
F006,C054,SECONDARY,True
F006,C057,SECONDARY,True
F006,C059,PRIMARY,True
F006,C060,PRIMARY,True
F006,C063,PRIMARY,True
F006,C065,SECONDARY,True
F007,C005,PRIMARY,False
F007,C010,PRIMARY,True
F007,C011,PRIMARY,True
F007,C012,PRIMARY,False
F007,C013,PRIMARY,True
F007,C014,PRIMARY,False
F007,C015,PRIMARY,False
F007,C016,PRIMARY,True
F007,C017,PRIMARY,True
F007,C018,PRIMARY,True
F007,C019,PRIMARY,False
F007,C020,PRIMARY,False
F007,C032,SECONDARY,False
F007,C039,SECONDARY,False
F007,C050,SECONDARY,False
F007,C058,SECONDARY,True
F007,C059,PRIMARY,True
F007,C060,PRIMARY,True
F007,C062,SECONDARY,False
F007,C063,PRIMARY,False
F008,C005,PRIMARY,True
F008,C010,PRIMARY,False
F008,C011,PRIMARY,True
F008,C012,PRIMARY,False
F008,C013,PRIMARY,False
F008,C014,PRIMARY,True
F008,C015,PRIMARY,True
F008,C016,PRIMARY,False
F008,C017,PRIMARY,True
F008,C018,PRIMARY,True
F008,C019,PRIMARY,True
F008,C020,PRIMARY,True
F008,C027,SECONDARY,True
F008,C038,SECONDARY,True
F008,C044,SECONDARY,False
F008,C047,SECONDARY,False
F008,C050,SECONDARY,False
F008,C059,PRIMARY,True
F008,C060,PRIMARY,False
F008,C063,PRIMARY,True
F009,C001,SECONDARY,False
F009,C005,PRIMARY,False
F009,C006,SECONDARY,False
F009,C010,PRIMARY,True
F009,C011,PRIMARY,True
F009,C012,PRIMARY,False
F009,C013,PRIMARY,True
F009,C014,PRIMARY,True
F009,C015,PRIMARY,True
F009,C016,PRIMARY,False
F009,C017,PRIMARY,True
F009,C018,PRIMARY,True
F009,C019,PRIMARY,False
F009,C020,PRIMARY,True
F009,C035,SECONDARY,True
F009,C045,SECONDARY,True
F009,C049,SECONDARY,True
F009,C059,PRIMARY,True
F009,C060,PRIMARY,True
F009,C063,PRIMARY,True
F010,C005,PRIMARY,True
F010,C010,PRIMARY,True
F010,C011,PRIMARY,False
F010,C012,PRIMARY,False
F010,C013,PRIMARY,False
F010,C014,PRIMARY,True
F010,C015,PRIMARY,False
F010,C016,PRIMARY,True
F010,C017,PRIMARY,False
F010,C018,PRIMARY,False
F010,C019,PRIMARY,True
F010,C020,PRIMARY,False
F010,C021,SECONDARY,False
F010,C031,SECONDARY,False
F010,C036,SECONDARY,True
F010,C050,SECONDARY,True
F010,C051,SECONDARY,False
F010,C059,PRIMARY,True
F010,C060,PRIMARY,True
F010,C063,PRIMARY,True
F011,C001,SECONDARY,True
F011,C005,PRIMARY,False
F011,C010,PRIMARY,False
F011,C011,PRIMARY,True
F011,C012,PRIMARY,False
F011,C013,PRIMARY,False
F011,C014,PRIMARY,True
F011,C015,PRIMARY,False
F011,C016,PRIMARY,True
F011,C017,PRIMARY,True
F011,C018,PRIMARY,False
F011,C019,PRIMARY,True
F011,C020,PRIMARY,True
F011,C023,SECONDARY,True
F011,C032,SECONDARY,False
F011,C052,SECONDARY,False
F011,C059,PRIMARY,True
F011,C060,PRIMARY,False
F011,C062,SECONDARY,True
F011,C063,PRIMARY,False
F012,C001,SECONDARY,False
F012,C002,SECONDARY,False
F012,C005,PRIMARY,True
F012,C010,PRIMARY,True
F012,C011,PRIMARY,False
F012,C012,PRIMARY,True
F012,C013,PRIMARY,False
F012,C014,PRIMARY,True
F012,C015,PRIMARY,False
F012,C016,PRIMARY,False
F012,C017,PRIMARY,True
F012,C018,PRIMARY,True
F012,C019,PRIMARY,True
F012,C020,PRIMARY,True
F012,C041,SECONDARY,True
F012,C053,SECONDARY,False
F012,C059,PRIMARY,True
F012,C060,PRIMARY,False
F012,C062,SECONDARY,True
F012,C063,PRIMARY,True
F013,C013,SECONDARY,True
F013,C015,SECONDARY,True
F013,C021,PRIMARY,True
F013,C022,PRIMARY,False
F013,C023,PRIMARY,False
F013,C024,PRIMARY,True
F013,C025,PRIMARY,True
F013,C026,PRIMARY,True
