offering_id,course_id,section_id,session,slot_id,day,start_time,end_time,room_id,faculty_id
O0001,C_IT101,S_IT_1_A,1,TUE_1600,TUE,16:00,17:00,SR004,SF002
O0001,C_IT101,S_IT_1_A,2,WED_1400,WED,14:00,15:00,SR001,SF002
O0001,C_IT101,S_IT_1_A,3,THU_1200,THU,12:00,13:00,SR004,SF002
O0001,C_IT101,S_IT_1_A,4,FRI_1000,FRI,10:00,11:00,SR004,SF002
O0002,C_IT102,S_IT_1_A,1,WED_1500,WED,15:00,16:00,SR004,SF002
O0002,C_IT102,S_IT_1_A,2,THU_1400,THU,14:00,15:00,SR004,SF002
O0002,C_IT102,S_IT_1_A,3,FRI_1400,FRI,14:00,15:00,SR001,SF002
O0003,C_IT103,S_IT_1_A,1,WED_1600,WED,16:00,17:00,SR004,SF005
O0003,C_IT103,S_IT_1_A,2,THU_1500,THU,15:00,16:00,SR004,SF005
O0003,C_IT103,S_IT_1_A,3,FRI_1500,FRI,15:00,16:00,SR001,SF005
O0004,C_IT104,S_IT_1_A,1,FRI_1100,FRI,11:00,12:00,SR007,SF005
O0005,C_IT105,S_IT_1_A,1,THU_1600,THU,16:00,17:00,SR001,SF005
O0005,C_IT105,S_IT_1_A,2,FRI_1600,FRI,16:00,17:00,SR004,SF005
O0006,C_IT201,S_IT_2_A,1,TUE_1600,TUE,16:00,17:00,SR006,SF001
O0006,C_IT201,S_IT_2_A,2,WED_1400,WED,14:00,15:00,SR006,SF001
O0006,C_IT201,S_IT_2_A,3,THU_1200,THU,12:00,13:00,SR006,SF001
O0006,C_IT201,S_IT_2_A,4,FRI_1000,FRI,10:00,11:00,SR006,SF001
O0007,C_IT202,S_IT_2_A,1,WED_1500,WED,15:00,16:00,SR006,SF001
O0007,C_IT202,S_IT_2_A,2,THU_1400,THU,14:00,15:00,SR006,SF001
O0007,C_IT202,S_IT_2_A,3,FRI_1400,FRI,14:00,15:00,SR006,SF001
O0008,C_IT203,S_IT_2_A,1,WED_1600,WED,16:00,17:00,SR006,SF003
O0008,C_IT203,S_IT_2_A,2,THU_1500,THU,15:00,16:00,SR006,SF003
O0008,C_IT203,S_IT_2_A,3,FRI_1600,FRI,16:00,17:00,SR002,SF003
O0009,C_IT204,S_IT_2_A,1,FRI_1100,FRI,11:00,12:00,SR008,SF006
O0010,C_MECH101,S_MECH_1_A,1,TUE_1600,TUE,16:00,17:00,SR002,SF009
O0010,C_MECH101,S_MECH_1_A,2,WED_1400,WED,14:00,15:00,SR003,SF009
O0010,C_MECH101,S_MECH_1_A,3,THU_1200,THU,12:00,13:00,SR002,SF009
O0010,C_MECH101,S_MECH_1_A,4,FRI_1200,FRI,12:00,13:00,SR002,SF009
O0011,C_MECH102,S_MECH_1_A,1,WED_1500,WED,15:00,16:00,SR002,SF010
O0011,C_MECH102,S_MECH_1_A,2,THU_1400,THU,14:00,15:00,SR002,SF010
O0011,C_MECH102,S_MECH_1_A,3,FRI_1400,FRI,14:00,15:00,SR002,SF010
O0012,C_MECH103,S_MECH_1_A,1,WED_1600,WED,16:00,17:00,SR003,SF010
O0012,C_MECH103,S_MECH_1_A,2,THU_1500,THU,15:00,16:00,SR002,SF010
O0012,C_MECH103,S_MECH_1_A,3,FRI_1600,FRI,16:00,17:00,SR006,SF010
O0013,C_MECH104,S_MECH_1_A,1,FRI_0900,FRI,09:00,10:00,SR009,SF013
