offering_id,course_id,section_id,session,slot_id,day,start_time,end_time,room_id,faculty_id
O0001,C_IT101,S_IT_1_A,1,FRI_0900,FRI,09:00,10:00,SR004,SF007
O0001,C_IT101,S_IT_1_A,2,TUE_1500,TUE,15:00,16:00,SR004,SF007
O0001,C_IT101,S_IT_1_A,3,MON_1100,MON,11:00,12:00,SR004,SF007
O0001,C_IT101,S_IT_1_A,4,WED_1200,WED,12:00,13:00,SR004,SF007
O0002,C_IT102,S_IT_1_A,1,THU_1400,THU,14:00,15:00,SR004,SF006
O0002,C_IT102,S_IT_1_A,2,FRI_1000,FRI,10:00,11:00,SR004,SF006
O0002,C_IT102,S_IT_1_A,3,WED_1400,WED,14:00,15:00,SR004,SF006
O0003,C_IT103,S_IT_1_A,1,WED_1500,WED,15:00,16:00,SR004,SF005
O0003,C_IT103,S_IT_1_A,2,THU_1500,THU,15:00,16:00,SR004,SF005
O0003,C_IT103,S_IT_1_A,3,FRI_1100,FRI,11:00,12:00,SR004,SF005
O0004,C_IT104,S_IT_1_A,1,MON_1400,MON,14:00,15:00,SR008,SF006
O0005,C_IT105,S_IT_1_A,1,WED_1600,WED,16:00,17:00,SR004,SF007
O0005,C_IT105,S_IT_1_A,2,TUE_1400,TUE,14:00,15:00,SR004,SF007
O0006,C_IT201,S_IT_2_A,1,WED_1100,WED,11:00,12:00,SR002,SF001
O0006,C_IT201,S_IT_2_A,2,MON_1500,MON,15:00,16:00,SR002,SF001
O0006,C_IT201,S_IT_2_A,3,FRI_1400,FRI,14:00,15:00,SR002,SF001
O0006,C_IT201,S_IT_2_A,4,THU_1200,THU,12:00,13:00,SR003,SF001
O0007,C_IT202,S_IT_2_A,1,MON_1600,MON,16:00,17:00,SR004,SF006
O0007,C_IT202,S_IT_2_A,2,THU_1000,THU,10:00,11:00,SR003,SF006
O0007,C_IT202,S_IT_2_A,3,TUE_1100,TUE,11:00,12:00,SR002,SF006
O0008,C_IT203,S_IT_2_A,1,FRI_0900,FRI,09:00,10:00,SR003,SF008
O0008,C_IT203,S_IT_2_A,2,TUE_1000,TUE,10:00,11:00,SR002,SF008
O0008,C_IT203,S_IT_2_A,3,THU_1400,THU,14:00,15:00,SR002,SF008
O0009,C_IT204,S_IT_2_A,1,FRI_1100,FRI,11:00,12:00,SR007,SF007
O0010,C_MECH101,S_MECH_1_A,1,FRI_1000,FRI,10:00,11:00,SR002,SF009
O0010,C_MECH101,S_MECH_1_A,2,MON_1100,MON,11:00,12:00,SR003,SF009
O0010,C_MECH101,S_MECH_1_A,3,THU_1400,THU,14:00,15:00,SR006,SF009
