offering_id,course_id,section_id,session,slot_id,day,start_time,end_time,room_id,faculty_id
O0001,C001,S_CSE_1_A,1,TUE_1000,TUE,10:00,11:00,R012,F003
O0001,C001,S_CSE_1_A,2,WED_1500,WED,15:00,16:00,R009,F003
O0001,C001,S_CSE_1_A,3,FRI_1000,FRI,10:00,11:00,R006,F003
O0001,C001,S_CSE_1_A,4,MON_1000,MON,10:00,11:00,R010,F003
O0002,C002,S_CSE_1_A,1,WED_1000,WED,10:00,11:00,R005,F018
O0002,C002,S_CSE_1_A,2,THU_1100,THU,11:00,12:00,R007,F018
O0002,C002,S_CSE_1_A,3,MON_1400,MON,14:00,15:00,R002,F018
O0003,C003,S_CSE_1_A,1,TUE_1600,TUE,16:00,17:00,R010,F038
O0003,C003,S_CSE_1_A,2,WED_1400,WED,14:00,15:00,R007,F038
O0003,C003,S_CSE_1_A,3,MON_1600,MON,16:00,17:00,R012,F038
O0004,C004,S_CSE_1_A,1,WED_1600,WED,16:00,17:00,R007,F033
O0004,C004,S_CSE_1_A,2,THU_1500,THU,15:00,16:00,R012,F033
O0005,C005,S_CSE_1_A,1,WED_0900,WED,09:00,10:00,CL001,F001
O0005,C005,S_CSE_1_A,2,FRI_1200,FRI,12:00,13:00,CL004,F001
O0005,C005,S_CSE_1_A,3,THU_1600,THU,16:00,17:00,CL005,F001
O0005,C005,S_CSE_1_A,4,TUE_1100,TUE,11:00,12:00,CL004,F001
O0006,C006,S_CSE_1_A,1,FRI_1400,FRI,14:00,15:00,PL001,F009
O0007,C007,S_CSE_1_A,1,THU_0900,THU,09:00,10:00,W001,F003
O0008,C001,S_ECE_1_A,1,THU_1100,THU,11:00,12:00,R006,F037
O0008,C001,S_ECE_1_A,2,WED_1400,WED,14:00,15:00,R012,F037
O0008,C001,S_ECE_1_A,3,FRI_1200,FRI,12:00,13:00,R008,F037
O0008,C001,S_ECE_1_A,4,TUE_0900,TUE,09:00,10:00,R011,F037
O0009,C002,S_ECE_1_A,1,FRI_1600,FRI,16:00,17:00,R003,F024
O0009,C002,S_ECE_1_A,2,WED_1600,WED,16:00,17:00,R006,F024
O0009,C002,S_ECE_1_A,3,MON_1000,MON,10:00,11:00,R009,F024
O0010,C003,S_ECE_1_A,1,TUE_1000,TUE,10:00,11:00,R003,F038
O0010,C003,S_ECE_1_A,2,THU_1400,THU,14:00,15:00,R006,F038
O0010,C003,S_ECE_1_A,3,FRI_1000,FRI,10:00,11:00,R008,F038
O0011,C004,S_ECE_1_A,1,FRI_0900,FRI,09:00,10:00,R008,F029
O0011,C004,S_ECE_1_A,2,THU_1500,THU,15:00,16:00,R009,F029
O0012,C005,S_ECE_1_A,1,MON_1400,MON,14:00,15:00,CL005,F012
O0012,C005,S_ECE_1_A,2,FRI_1500,FRI,15:00,16:00,CL002,F012
O0012,C005,S_ECE_1_A,3,WED_1500,WED,15:00,16:00,CL005,F012
O0012,C005,S_ECE_1_A,4,THU_1600,THU,16:00,17:00,CL006,F012
O0013,C006,S_ECE_1_A,1,MON_1500,MON,15:00,16:00,PL001,F039
O0014,C007,S_ECE_1_A,1,WED_1100,WED,11:00,12:00,W001,F003
O0015,C001,S_AIML_1_A,1,THU_1200,THU,12:00,13:00,R008,F011
O0015,C001,S_AIML_1_A,2,FRI_1200,FRI,12:00,13:00,R011,F011
O0015,C001,S_AIML_1_A,3,WED_1200,WED,12:00,13:00,R007,F011
O0015,C001,S_AIML_1_A,4,MON_1500,MON,15:00,16:00,R008,F011
O0016,C002,S_AIML_1_A,1,THU_1400,THU,14:00,15:00,R005,F018
O0016,C002,S_AIML_1_A,2,FRI_1400,FRI,14:00,15:00,R001,F018
O0016,C002,S_AIML_1_A,3,WED_1100,WED,11:00,12:00,R011,F018
O0017,C003,S_AIML_1_A,1,FRI_1100,FRI,11:00,12:00,R008,F024
O0017,C003,S_AIML_1_A,2,THU_1600,THU,16:00,17:00,R011,F024
O0017,C003,S_AIML_1_A,3,TUE_1600,TUE,16:00,17:00,R002,F024
O0018,C004,S_AIML_1_A,1,MON_0900,MON,09:00,10:00,R009,F029
O0018,C004,S_AIML_1_A,2,THU_0900,THU,09:00,10:00,R010,F029
O0019,C005,S_AIML_1_A,1,FRI_1500,FRI,15:00,16:00,CL005,F010
O0019,C005,S_AIML_1_A,2,WED_1600,WED,16:00,17:00,CL006,F010
O0019,C005,S_AIML_1_A,3,TUE_1000,TUE,10:00,11:00,CL002,F010
