room_id,slot_id,available
R001,MON_0900,True
R001,MON_1000,True
R001,MON_1100,True
R001,MON_1200,True
R001,MON_1400,True
R001,MON_1500,True
R001,MON_1600,True
R001,TUE_0900,True
R001,TUE_1000,True
R001,TUE_1100,True
R001,TUE_1200,True
R001,TUE_1400,True
R001,TUE_1500,True
R001,TUE_1600,True
R001,WED_0900,True
R001,WED_1000,True
R001,WED_1100,True
R001,WED_1200,True
R001,WED_1400,True
R001,WED_1500,True
R001,WED_1600,True
R001,THU_0900,True
R001,THU_1000,True
R001,THU_1100,True
R001,THU_1200,True
R001,THU_1400,True
R001,THU_1500,True
R001,THU_1600,True
R001,FRI_0900,True
R001,FRI_1000,True
R001,FRI_1100,True
R001,FRI_1200,True
R001,FRI_1400,True
R001,FRI_1500,True
R001,FRI_1600,True
R002,MON_0900,True
R002,MON_1000,True
R002,MON_1100,True
R002,MON_1200,True
R002,MON_1400,True
R002,MON_1500,True
R002,MON_1600,True
R002,TUE_0900,True
R002,TUE_1000,True
R002,TUE_1100,True
R002,TUE_1200,True
R002,TUE_1400,True
R002,TUE_1500,True
R002,TUE_1600,True
R002,WED_0900,True
R002,WED_1000,True
R002,WED_1100,True
R002,WED_1200,True
R002,WED_1400,True
R002,WED_1500,True
R002,WED_1600,True
R002,THU_0900,True
R002,THU_1000,True
R002,THU_1100,True
R002,THU_1200,True
R002,THU_1400,True
R002,THU_1500,True
R002,THU_1600,True
R002,FRI_0900,True
R002,FRI_1000,True
R002,FRI_1100,True
R002,FRI_1200,True
R002,FRI_1400,True
R002,FRI_1500,True
R002,FRI_1600,True
R003,MON_0900,True
R003,MON_1000,True
R003,MON_1100,True
R003,MON_1200,True
R003,MON_1400,True
R003,MON_1500,True
R003,MON_1600,True
R003,TUE_0900,True
R003,TUE_1000,True
R003,TUE_1100,True
R003,TUE_1200,True
R003,TUE_1400,True
R003,TUE_1500,True
R003,TUE_1600,True
R003,WED_0900,True
R003,WED_1000,True
R003,WED_1100,True
R003,WED_1200,True
R003,WED_1400,True
R003,WED_1500,True
R003,WED_1600,True
R003,THU_0900,True
R003,THU_1000,True
R003,THU_1100,True
R003,THU_1200,True
R003,THU_1400,True
R003,THU_1500,True
R003,THU_1600,True
R003,FRI_0900,True
R003,FRI_1000,True
R003,FRI_1100,True
R003,FRI_1200,True
R003,FRI_1400,True
R003,FRI_1500,True
R003,FRI_1600,True
R004,MON_0900,True
R004,MON_1000,True
R004,MON_1100,True
R004,MON_1200,True
R004,MON_1400,True
R004,MON_1500,True
R004,MON_1600,True
R004,TUE_0900,True
R004,TUE_1000,True
R004,TUE_1100,True
R004,TUE_1200,True
R004,TUE_1400,True
R004,TUE_1500,True
R004,TUE_1600,True
R004,WED_0900,True
R004,WED_1000,True
R004,WED_1100,True
R004,WED_1200,True
R004,WED_1400,True
R004,WED_1500,True
R004,WED_1600,True
R004,THU_0900,True
R004,THU_1000,True
R004,THU_1100,True
R004,THU_1200,True
R004,THU_1400,True
R004,THU_1500,True
R004,THU_1600,True
R004,FRI_0900,True
R004,FRI_1000,True
R004,FRI_1100,True
R004,FRI_1200,True
R004,FRI_1400,True
R004,FRI_1500,True
R004,FRI_1600,True
R005,MON_0900,True
R005,MON_1000,True
R005,MON_1100,True
R005,MON_1200,True
R005,MON_1400,True
R005,MON_1500,True
R005,MON_1600,True
R005,TUE_0900,True
R005,TUE_1000,True
R005,TUE_1100,True
R005,TUE_1200,True
R005,TUE_1400,True
R005,TUE_1500,True
R005,TUE_1600,True
R005,WED_0900,True
R005,WED_1000,True
R005,WED_1100,True
R005,WED_1200,True
R005,WED_1400,True
R005,WED_1500,True
R005,WED_1600,True
R005,THU_0900,True
R005,THU_1000,True
R005,THU_1100,True
R005,THU_1200,True
R005,THU_1400,True
R005,THU_1500,True
R005,THU_1600,True
R005,FRI_0900,True
R005,FRI_1000,True
R005,FRI_1100,True
R005,FRI_1200,True
R005,FRI_1400,True
R005,FRI_1500,True
R005,FRI_1600,True
R006,MON_0900,True
R006,MON_1000,True
R006,MON_1100,True
R006,MON_1200,True
R006,MON_1400,True
R006,MON_1500,True
R006,MON_1600,True
R006,TUE_0900,True
R006,TUE_1000,True
R006,TUE_1100,True
R006,TUE_1200,True
R006,TUE_1400,True
R006,TUE_1500,True
R006,TUE_1600,True
R006,WED_0900,True
R006,WED_1000,True
R006,WED_1100,True
R006,WED_1200,True
R006,WED_1400,True
R006,WED_1500,True
R006,WED_1600,True
R006,THU_0900,True
R006,THU_1000,True
R006,THU_1100,True
R006,THU_1200,True
R006,THU_1400,True
R006,THU_1500,True
R006,THU_1600,True
R006,FRI_0900,True
R006,FRI_1000,True
R006,FRI_1100,True
R006,FRI_1200,True
R006,FRI_1400,True
R006,FRI_1500,True
R006,FRI_1600,True
R007,MON_0900,True
R007,MON_1000,True
R007,MON_1100,True
R007,MON_1200,True
R007,MON_1400,True
R007,MON_1500,True
R007,MON_1600,True
R007,TUE_0900,True
R007,TUE_1000,True
R007,TUE_1100,True
R007,TUE_1200,True
R007,TUE_1400,True
R007,TUE_1500,True
R007,TUE_1600,True
R007,WED_0900,True
R007,WED_1000,True
R007,WED_1100,True
R007,WED_1200,True
R007,WED_1400,True
R007,WED_1500,True
R007,WED_1600,True
R007,THU_0900,True
R007,THU_1000,True
R007,THU_1100,True
R007,THU_1200,True
R007,THU_1400,True
R007,THU_1500,True
R007,THU_1600,True
R007,FRI_0900,True
R007,FRI_1000,True
R007,FRI_1100,True
R007,FRI_1200,True
R007,FRI_1400,True
R007,FRI_1500,True
R007,FRI_1600,True
R008,MON_0900,True
R008,MON_1000,True
R008,MON_1100,True
R008,MON_1200,True
R008,MON_1400,True
R008,MON_1500,True
R008,MON_1600,True
R008,TUE_0900,True
R008,TUE_1000,True
R008,TUE_1100,True
R008,TUE_1200,True
R008,TUE_1400,True
R008,TUE_1500,True
R008,TUE_1600,True
R008,WED_0900,True
R008,WED_1000,True
R008,WED_1100,True
R008,WED_1200,True
R008,WED_1400,True
R008,WED_1500,True
R008,WED_1600,True
R008,THU_0900,True
R008,THU_1000,True
R008,THU_1100,True
R008,THU_1200,True
R008,THU_1400,True
R008,THU_1500,True
R008,THU_1600,True
R008,FRI_0900,True
R008,FRI_1000,True
R008,FRI_1100,True
R008,FRI_1200,True
R008,FRI_1400,True
R008,FRI_1500,True
R008,FRI_1600,True
R009,MON_0900,True
R009,MON_1000,True
R009,MON_1100,True
R009,MON_1200,True
R009,MON_1400,True
R009,MON_1500,True
R009,MON_1600,True
R009,TUE_0900,True
R009,TUE_1000,True
R009,TUE_1100,True
R009,TUE_1200,True
R009,TUE_1400,True
R009,TUE_1500,True
R009,TUE_1600,True
R009,WED_0900,True
R009,WED_1000,True
R009,WED_1100,True
R009,WED_1200,True
R009,WED_1400,True
R009,WED_1500,True
R009,WED_1600,True
R009,THU_0900,True
R009,THU_1000,True
R009,THU_1100,True
R009,THU_1200,True
R009,THU_1400,True
R009,THU_1500,True
R009,THU_1600,True
R009,FRI_0900,True
R009,FRI_1000,True
R009,FRI_1100,True
R009,FRI_1200,True
R009,FRI_1400,True
R009,FRI_1500,True
R009,FRI_1600,True
R010,MON_0900,True
R010,MON_1000,True
R010,MON_1100,True
R010,MON_1200,True
R010,MON_1400,True
R010,MON_1500,True
R010,MON_1600,True
R010,TUE_0900,True
R010,TUE_1000,True
R010,TUE_1100,True
R010,TUE_1200,True
R010,TUE_1400,True
R010,TUE_1500,True
R010,TUE_1600,True
R010,WED_0900,True
R010,WED_1000,True
R010,WED_1100,True
R010,WED_1200,True
R010,WED_1400,True
R010,WED_1500,True
R010,WED_1600,True
R010,THU_0900,True
R010,THU_1000,True
R010,THU_1100,True
R010,THU_1200,True
R010,THU_1400,True
R010,THU_1500,True
R010,THU_1600,True
R010,FRI_0900,True
R010,FRI_1000,True
R010,FRI_1100,True
R010,FRI_1200,True
R010,FRI_1400,True
R010,FRI_1500,True
R010,FRI_1600,True
R011,MON_0900,True
R011,MON_1000,True
R011,MON_1100,True
R011,MON_1200,True
R011,MON_1400,True
R011,MON_1500,True
R011,MON_1600,True
R011,TUE_0900,True
R011,TUE_1000,True
R011,TUE_1100,True
R011,TUE_1200,True
R011,TUE_1400,True
R011,TUE_1500,True
R011,TUE_1600,True
R011,WED_0900,True
R011,WED_1000,True
R011,WED_1100,True
R011,WED_1200,True
R011,WED_1400,True
R011,WED_1500,True
R011,WED_1600,True
R011,THU_0900,True
R011,THU_1000,True
R011,THU_1100,True
R011,THU_1200,True
R011,THU_1400,True
R011,THU_1500,True
R011,THU_1600,True
R011,FRI_0900,True
R011,FRI_1000,True
R011,FRI_1100,True
R011,FRI_1200,True
R011,FRI_1400,True
R011,FRI_1500,True
R011,FRI_1600,True
R012,MON_0900,True
R012,MON_1000,True
R012,MON_1100,True
R012,MON_1200,True
R012,MON_1400,True
R012,MON_1500,True
R012,MON_1600,True
R012,TUE_0900,True
R012,TUE_1000,True
R012,TUE_1100,True
R012,TUE_1200,True
R012,TUE_1400,True
R012,TUE_1500,True
R012,TUE_1600,True
R012,WED_0900,True
R012,WED_1000,True
R012,WED_1100,True
R012,WED_1200,True
R012,WED_1400,True
R012,WED_1500,True
R012,WED_1600,True
R012,THU_0900,True
R012,THU_1000,True
R012,THU_1100,True
R012,THU_1200,True
R012,THU_1400,True
R012,THU_1500,True
R012,THU_1600,True
R012,FRI_0900,True
R012,FRI_1000,True
R012,FRI_1100,True
R012,FRI_1200,True
R012,FRI_1400,True
R012,FRI_1500,True
R012,FRI_1600,True
H001,MON_0900,True
H001,MON_1000,True
H001,MON_1100,True
H001,MON_1200,True
H001,MON_1400,True
H001,MON_1500,True
H001,MON_1600,True
H001,TUE_0900,True
H001,TUE_1000,True
H001,TUE_1100,True
H001,TUE_1200,True
H001,TUE_1400,True
H001,TUE_1500,True
H001,TUE_1600,True
H001,WED_0900,True
H001,WED_1000,True
H001,WED_1100,True
H001,WED_1200,True
H001,WED_1400,True
H001,WED_1500,True
H001,WED_1600,True
H001,THU_0900,True
H001,THU_1000,True
H001,THU_1100,True
H001,THU_1200,True
H001,THU_1400,False
H001,THU_1500,True
H001,THU_1600,True
H001,FRI_0900,True
H001,FRI_1000,True
H001,FRI_1100,True
H001,FRI_1200,True
H001,FRI_1400,True
H001,FRI_1500,True
H001,FRI_1600,True
H002,MON_0900,True
H002,MON_1000,False
H002,MON_1100,True
H002,MON_1200,True
H002,MON_1400,True
H002,MON_1500,True
H002,MON_1600,True
H002,TUE_0900,True
H002,TUE_1000,True
H002,TUE_1100,True
H002,TUE_1200,True
H002,TUE_1400,True
H002,TUE_1500,True
H002,TUE_1600,True
H002,WED_0900,True
H002,WED_1000,True
H002,WED_1100,True
H002,WED_1200,True
H002,WED_1400,True
H002,WED_1500,True
H002,WED_1600,True
H002,THU_0900,True
H002,THU_1000,True
H002,THU_1100,True
H002,THU_1200,True
H002,THU_1400,True
H002,THU_1500,True
H002,THU_1600,True
H002,FRI_0900,True
H002,FRI_1000,True
H002,FRI_1100,True
H002,FRI_1200,True
H002,FRI_1400,True
H002,FRI_1500,True
H002,FRI_1600,True
H003,MON_0900,True
H003,MON_1000,True
H003,MON_1100,True
H003,MON_1200,True
H003,MON_1400,True
H003,MON_1500,True
H003,MON_1600,True
H003,TUE_0900,True
H003,TUE_1000,True
H003,TUE_1100,True
H003,TUE_1200,True
H003,TUE_1400,True
H003,TUE_1500,True
H003,TUE_1600,True
H003,WED_0900,True
H003,WED_1000,True
H003,WED_1100,True
H003,WED_1200,True
H003,WED_1400,True
H003,WED_1500,True
H003,WED_1600,True
H003,THU_0900,True
H003,THU_1000,True
H003,THU_1100,True
H003,THU_1200,True
H003,THU_1400,True
H003,THU_1500,True
H003,THU_1600,True
H003,FRI_0900,True
H003,FRI_1000,True
H003,FRI_1100,True
H003,FRI_1200,True
H003,FRI_1400,True
H003,FRI_1500,True
H003,FRI_1600,True
H004,MON_0900,True
H004,MON_1000,True
H004,MON_1100,True
H004,MON_1200,True
H004,MON_1400,True
H004,MON_1500,True
H004,MON_1600,True
H004,TUE_0900,True
H004,TUE_1000,True
H004,TUE_1100,True
H004,TUE_1200,False
H004,TUE_1400,True
H004,TUE_1500,True
H004,TUE_1600,True
H004,WED_0900,True
H004,WED_1000,True
H004,WED_1100,True
H004,WED_1200,True
H004,WED_1400,True
H004,WED_1500,True
H004,WED_1600,True
H004,THU_0900,True
H004,THU_1000,True
H004,THU_1100,True
H004,THU_1200,True
H004,THU_1400,True
H004,THU_1500,True
H004,THU_1600,True
H004,FRI_0900,True
H004,FRI_1000,True
H004,FRI_1100,True
H004,FRI_1200,True
H004,FRI_1400,True
H004,FRI_1500,True
H004,FRI_1600,True
CL001,MON_0900,True
CL001,MON_1000,True
CL001,MON_1100,False
CL001,MON_1200,True
CL001,MON_1400,True
CL001,MON_1500,True
CL001,MON_1600,True
CL001,TUE_0900,True
CL001,TUE_1000,True
CL001,TUE_1100,True
CL001,TUE_1200,True
CL001,TUE_1400,True
CL001,TUE_1500,True
CL001,TUE_1600,True
CL001,WED_0900,True
CL001,WED_1000,True
CL001,WED_1100,True
CL001,WED_1200,True
CL001,WED_1400,True
CL001,WED_1500,True
CL001,WED_1600,True
CL001,THU_0900,True
CL001,THU_1000,False
CL001,THU_1100,True
CL001,THU_1200,True
CL001,THU_1400,True
CL001,THU_1500,True
CL001,THU_1600,False
CL001,FRI_0900,True
CL001,FRI_1000,True
CL001,FRI_1100,True
CL001,FRI_1200,True
