room_id,room_name,building,floor,room_type,capacity,has_projector,has_computers,has_ac,equipment
R001,Classroom-01,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R002,Classroom-02,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R003,Classroom-03,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R004,Classroom-04,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R005,Classroom-05,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R006,Classroom-06,A,1,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R007,Classroom-07,B,2,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R008,Classroom-08,B,2,CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
R009,Classroom-09,B,2,CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
R010,Classroom-10,B,2,CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
R011,Classroom-11,B,2,CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
R012,Classroom-12,B,2,CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
H001,Lecture-Hall-01,C,1,LECTURE_HALL,150,True,False,True,"PROJECTOR,AUDIO_SYSTEM"
H002,Lecture-Hall-02,C,1,LECTURE_HALL,150,True,False,True,"PROJECTOR,AUDIO_SYSTEM"
H003,Lecture-Hall-03,C,1,LECTURE_HALL,150,True,False,True,"PROJECTOR,AUDIO_SYSTEM"
H004,Lecture-Hall-04,C,1,LECTURE_HALL,150,True,False,True,"PROJECTOR,AUDIO_SYSTEM"
CL001,Computer-Lab-01,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
CL002,Computer-Lab-02,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
CL003,Computer-Lab-03,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
CL004,Computer-Lab-04,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
CL005,Computer-Lab-05,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
CL006,Computer-Lab-06,B,2,COMPUTER_LAB,60,True,True,True,"COMPUTERS,PROJECTOR"
PL001,Physics-Lab-01,D,1,PHYSICS_LAB,40,True,False,True,PHYSICS_EQUIPMENT
EL001,Electronics-Lab-01,D,2,ELECTRONICS_LAB,40,True,True,True,"OSCILLOSCOPES,MICROCONTROLLERS"
EL002,Electronics-Lab-02,D,2,ELECTRONICS_LAB,40,True,True,True,ELECTRONICS_KITS
RL001,Robotics-Lab-01,E,1,ROBOTICS_LAB,35,True,True,True,"ROBOT_KITS,3D_PRINTER"
RL002,Robotics-Lab-02,E,1,ROBOTICS_LAB,35,True,True,True,"ROBOT_KITS,ARM_ROBOTS"
