student_id,course_id,enrollment_type
STU0001,C001,CORE
STU0001,C002,CORE
STU0001,C003,CORE
STU0001,C004,CORE
STU0001,C005,CORE
STU0001,C006,CORE
STU0001,C007,CORE
STU0002,C001,CORE
STU0002,C002,CORE
STU0002,C003,CORE
STU0002,C004,CORE
STU0002,C005,CORE
STU0002,C006,CORE
STU0002,C007,CORE
STU0003,C001,CORE
STU0003,C002,CORE
STU0003,C003,CORE
STU0003,C004,CORE
STU0003,C005,CORE
STU0003,C006,CORE
STU0003,C007,CORE
STU0004,C001,CORE
STU0004,C002,CORE
STU0004,C003,CORE
STU0004,C004,CORE
STU0004,C005,CORE
STU0004,C006,CORE
STU0004,C007,CORE
STU0005,C001,CORE
STU0005,C002,CORE
STU0005,C003,CORE
STU0005,C004,CORE
STU0005,C005,CORE
STU0005,C006,CORE
STU0005,C007,CORE
STU0006,C001,CORE
STU0006,C002,CORE
STU0006,C003,CORE
STU0006,C004,CORE
STU0006,C005,CORE
STU0006,C006,CORE
STU0006,C007,CORE
STU0007,C001,CORE
STU0007,C002,CORE
STU0007,C003,CORE
STU0007,C004,CORE
STU0007,C005,CORE
STU0007,C006,CORE
STU0007,C007,CORE
STU0008,C001,CORE
STU0008,C002,CORE
STU0008,C003,CORE
STU0008,C004,CORE
STU0008,C005,CORE
STU0008,C006,CORE
STU0008,C007,CORE
STU0009,C001,CORE
STU0009,C002,CORE
STU0009,C003,CORE
STU0009,C004,CORE
STU0009,C005,CORE
STU0009,C006,CORE
STU0009,C007,CORE
STU0010,C001,CORE
STU0010,C002,CORE
STU0010,C003,CORE
STU0010,C004,CORE
STU0010,C005,CORE
STU0010,C006,CORE
STU0010,C007,CORE
STU0011,C001,CORE
STU0011,C002,CORE
STU0011,C003,CORE
STU0011,C004,CORE
STU0011,C005,CORE
STU0011,C006,CORE
STU0011,C007,CORE
STU0012,C001,CORE
STU0012,C002,CORE
STU0012,C003,CORE
STU0012,C004,CORE
STU0012,C005,CORE
STU0012,C006,CORE
STU0012,C007,CORE
STU0013,C001,CORE
STU0013,C002,CORE
STU0013,C003,CORE
STU0013,C004,CORE
STU0013,C005,CORE
STU0013,C006,CORE
STU0013,C007,CORE
STU0014,C001,CORE
STU0014,C002,CORE
STU0014,C003,CORE
STU0014,C004,CORE
STU0014,C005,CORE
STU0014,C006,CORE
STU0014,C007,CORE
STU0015,C001,CORE
STU0015,C002,CORE
STU0015,C003,CORE
STU0015,C004,CORE
STU0015,C005,CORE
STU0015,C006,CORE
STU0015,C007,CORE
STU0016,C001,CORE
STU0016,C002,CORE
STU0016,C003,CORE
STU0016,C004,CORE
STU0016,C005,CORE
STU0016,C006,CORE
STU0016,C007,CORE
STU0017,C001,CORE
STU0017,C002,CORE
STU0017,C003,CORE
STU0017,C004,CORE
STU0017,C005,CORE
STU0017,C006,CORE
STU0017,C007,CORE
STU0018,C001,CORE
STU0018,C002,CORE
STU0018,C003,CORE
STU0018,C004,CORE
STU0018,C005,CORE
STU0018,C006,CORE
STU0018,C007,CORE
STU0019,C001,CORE
STU0019,C002,CORE
STU0019,C003,CORE
STU0019,C004,CORE
STU0019,C005,CORE
STU0019,C006,CORE
STU0019,C007,CORE
STU0020,C001,CORE
STU0020,C002,CORE
STU0020,C003,CORE
STU0020,C004,CORE
STU0020,C005,CORE
STU0020,C006,CORE
STU0020,C007,CORE
STU0021,C001,CORE
STU0021,C002,CORE
STU0021,C003,CORE
STU0021,C004,CORE
STU0021,C005,CORE
STU0021,C006,CORE
STU0021,C007,CORE
STU0022,C001,CORE
STU0022,C002,CORE
STU0022,C003,CORE
STU0022,C004,CORE
STU0022,C005,CORE
STU0022,C006,CORE
STU0022,C007,CORE
STU0023,C001,CORE
STU0023,C002,CORE
STU0023,C003,CORE
STU0023,C004,CORE
STU0023,C005,CORE
STU0023,C006,CORE
STU0023,C007,CORE
STU0024,C001,CORE
STU0024,C002,CORE
STU0024,C003,CORE
STU0024,C004,CORE
STU0024,C005,CORE
STU0024,C006,CORE
STU0024,C007,CORE
STU0025,C001,CORE
STU0025,C002,CORE
STU0025,C003,CORE
STU0025,C004,CORE
STU0025,C005,CORE
STU0025,C006,CORE
STU0025,C007,CORE
STU0026,C001,CORE
STU0026,C002,CORE
STU0026,C003,CORE
STU0026,C004,CORE
STU0026,C005,CORE
STU0026,C006,CORE
STU0026,C007,CORE
STU0027,C001,CORE
STU0027,C002,CORE
STU0027,C003,CORE
STU0027,C004,CORE
STU0027,C005,CORE
STU0027,C006,CORE
STU0027,C007,CORE
STU0028,C001,CORE
STU0028,C002,CORE
STU0028,C003,CORE
STU0028,C004,CORE
STU0028,C005,CORE
STU0028,C006,CORE
STU0028,C007,CORE
STU0029,C001,CORE
STU0029,C002,CORE
STU0029,C003,CORE
STU0029,C004,CORE
STU0029,C005,CORE
STU0029,C006,CORE
STU0029,C007,CORE
STU0030,C001,CORE
STU0030,C002,CORE
STU0030,C003,CORE
STU0030,C004,CORE
STU0030,C005,CORE
STU0030,C006,CORE
STU0030,C007,CORE
STU0031,C001,CORE
STU0031,C002,CORE
STU0031,C003,CORE
STU0031,C004,CORE
STU0031,C005,CORE
STU0031,C006,CORE
STU0031,C007,CORE
STU0032,C001,CORE
STU0032,C002,CORE
STU0032,C003,CORE
STU0032,C004,CORE
STU0032,C005,CORE
STU0032,C006,CORE
STU0032,C007,CORE
STU0033,C001,CORE
STU0033,C002,CORE
STU0033,C003,CORE
STU0033,C004,CORE
STU0033,C005,CORE
STU0033,C006,CORE
STU0033,C007,CORE
STU0034,C001,CORE
STU0034,C002,CORE
STU0034,C003,CORE
STU0034,C004,CORE
STU0034,C005,CORE
STU0034,C006,CORE
STU0034,C007,CORE
STU0035,C001,CORE
STU0035,C002,CORE
STU0035,C003,CORE
STU0035,C004,CORE
STU0035,C005,CORE
STU0035,C006,CORE
STU0035,C007,CORE
STU0036,C001,CORE
STU0036,C002,CORE
STU0036,C003,CORE
STU0036,C004,CORE
STU0036,C005,CORE
STU0036,C006,CORE
STU0036,C007,CORE
STU0037,C001,CORE
STU0037,C002,CORE
STU0037,C003,CORE
STU0037,C004,CORE
STU0037,C005,CORE
STU0037,C006,CORE
STU0037,C007,CORE
STU0038,C001,CORE
STU0038,C002,CORE
STU0038,C003,CORE
STU0038,C004,CORE
STU0038,C005,CORE
STU0038,C006,CORE
STU0038,C007,CORE
STU0039,C001,CORE
STU0039,C002,CORE
STU0039,C003,CORE
STU0039,C004,CORE
STU0039,C005,CORE
STU0039,C006,CORE
STU0039,C007,CORE
STU0040,C001,CORE
STU0040,C002,CORE
STU0040,C003,CORE
STU0040,C004,CORE
STU0040,C005,CORE
STU0040,C006,CORE
STU0040,C007,CORE
STU0041,C001,CORE
STU0041,C002,CORE
STU0041,C003,CORE
STU0041,C004,CORE
STU0041,C005,CORE
STU0041,C006,CORE
STU0041,C007,CORE
STU0042,C001,CORE
STU0042,C002,CORE
STU0042,C003,CORE
STU0042,C004,CORE
STU0042,C005,CORE
STU0042,C006,CORE
STU0042,C007,CORE
STU0043,C001,CORE
STU0043,C002,CORE
STU0043,C003,CORE
STU0043,C004,CORE
STU0043,C005,CORE
STU0043,C006,CORE
STU0043,C007,CORE
STU0044,C001,CORE
STU0044,C002,CORE
STU0044,C003,CORE
STU0044,C004,CORE
STU0044,C005,CORE
STU0044,C006,CORE
STU0044,C007,CORE
STU0045,C001,CORE
STU0045,C002,CORE
STU0045,C003,CORE
STU0045,C004,CORE
STU0045,C005,CORE
STU0045,C006,CORE
STU0045,C007,CORE
STU0046,C001,CORE
STU0046,C002,CORE
STU0046,C003,CORE
STU0046,C004,CORE
STU0046,C005,CORE
STU0046,C006,CORE
STU0046,C007,CORE
STU0047,C001,CORE
STU0047,C002,CORE
STU0047,C003,CORE
STU0047,C004,CORE
STU0047,C005,CORE
STU0047,C006,CORE
STU0047,C007,CORE
STU0048,C001,CORE
STU0048,C002,CORE
STU0048,C003,CORE
STU0048,C004,CORE
STU0048,C005,CORE
STU0048,C006,CORE
STU0048,C007,CORE
STU0049,C001,CORE
STU0049,C002,CORE
STU0049,C003,CORE
STU0049,C004,CORE
STU0049,C005,CORE
STU0049,C006,CORE
STU0049,C007,CORE
STU0050,C001,CORE
STU0050,C002,CORE
STU0050,C003,CORE
STU0050,C004,CORE
STU0050,C005,CORE
STU0050,C006,CORE
STU0050,C007,CORE
STU0051,C001,CORE
STU0051,C002,CORE
STU0051,C003,CORE
STU0051,C004,CORE
STU0051,C005,CORE
STU0051,C006,CORE
STU0051,C007,CORE
STU0052,C001,CORE
STU0052,C002,CORE
STU0052,C003,CORE
STU0052,C004,CORE
STU0052,C005,CORE
STU0052,C006,CORE
STU0052,C007,CORE
STU0053,C001,CORE
STU0053,C002,CORE
STU0053,C003,CORE
STU0053,C004,CORE
STU0053,C005,CORE
STU0053,C006,CORE
STU0053,C007,CORE
STU0054,C001,CORE
STU0054,C002,CORE
STU0054,C003,CORE
STU0054,C004,CORE
STU0054,C005,CORE
STU0054,C006,CORE
STU0054,C007,CORE
STU0055,C001,CORE
STU0055,C002,CORE
STU0055,C003,CORE
STU0055,C004,CORE
STU0055,C005,CORE
STU0055,C006,CORE
STU0055,C007,CORE
STU0056,C001,CORE
STU0056,C002,CORE
STU0056,C003,CORE
STU0056,C004,CORE
STU0056,C005,CORE
