offering_id,course_id,section_id,required_sessions,session_duration,student_count
O0001,C_IT101,S_IT_1_A,4,1,70
O0002,C_IT102,S_IT_1_A,3,1,70
O0003,C_IT103,S_IT_1_A,3,1,70
O0004,C_IT104,S_IT_1_A,1,2,70
O0005,C_IT105,S_IT_1_A,2,1,70
O0006,C_IT201,S_IT_2_A,4,1,65
O0007,C_IT202,S_IT_2_A,3,1,65
O0008,C_IT203,S_IT_2_A,3,1,65
O0009,C_IT204,S_IT_2_A,1,2,65
O0010,C_MECH101,S_MECH_1_A,4,1,54
O0011,C_MECH102,S_MECH_1_A,3,1,54
O0012,C_MECH103,S_MECH_1_A,3,1,54
O0013,C_MECH104,S_MECH_1_A,1,2,54
O0014,C_MECH105,S_MECH_1_A,2,1,54
O0015,C_MECH201,S_MECH_2_A,4,1,59
O0016,C_MECH202,S_MECH_2_A,3,1,59
O0017,C_MECH203,S_MECH_2_A,3,1,59
O0018,C_MECH204,S_MECH_2_A,1,2,59
O0019,C_CIVIL101,S_CIVIL_1_A,4,1,51
O0020,C_CIVIL102,S_CIVIL_1_A,3,1,51
O0021,C_CIVIL103,S_CIVIL_1_A,3,1,51
O0022,C_CIVIL104,S_CIVIL_1_A,1,2,51
O0023,C_CIVIL105,S_CIVIL_1_A,2,1,51
O0024,C_CIVIL201,S_CIVIL_2_A,4,1,59
O0025,C_CIVIL202,S_CIVIL_2_A,3,1,59
O0026,C_CIVIL203,S_CIVIL_2_A,3,1,59
O0027,C_CIVIL204,S_CIVIL_2_A,1,2,59
O0028,C_OAE01,S_IT_2_A,2,1,33
O0029,C_OAE01,S_MECH_2_A,2,1,30
O0030,C_OAE01,S_CIVIL_2_A,2,1,30
O0031,C_OAE02,S_IT_2_A,2,1,32
O0032,C_OAE02,S_MECH_2_A,2,1,29
O0033,C_OAE02,S_CIVIL_2_A,2,1,29
