faculty_id,slot_id,available,preference_score
SF001,MON_0900,True,3
SF001,MON_1000,True,3
SF001,MON_1100,True,3
SF001,MON_1200,True,3
SF001,MON_1400,True,4
SF001,MON_1500,True,2
SF001,MON_1600,True,4
SF001,TUE_0900,True,4
SF001,TUE_1000,True,3
SF001,TUE_1100,True,2
SF001,TUE_1200,True,3
SF001,TUE_1400,True,2
SF001,TUE_1500,True,3
SF001,TUE_1600,True,3
SF001,WED_0900,True,3
SF001,WED_1000,True,4
SF001,WED_1100,True,2
SF001,WED_1200,True,2
SF001,WED_1400,True,3
SF001,WED_1500,True,4
SF001,WED_1600,True,4
SF001,THU_0900,True,2
SF001,THU_1000,True,2
SF001,THU_1100,True,2
SF001,THU_1200,True,3
SF001,THU_1400,True,4
SF001,THU_1500,True,3
SF001,THU_1600,True,2
SF001,FRI_0900,True,2
SF001,FRI_1000,True,4
SF001,FRI_1100,True,4
SF001,FRI_1200,True,2
SF001,FRI_1400,True,2
SF001,FRI_1500,True,2
SF001,FRI_1600,True,3
SF002,MON_0900,True,3
SF002,MON_1000,True,3
SF002,MON_1100,True,2
SF002,MON_1200,True,3
SF002,MON_1400,True,2
SF002,MON_1500,True,2
SF002,MON_1600,True,4
SF002,TUE_0900,True,4
SF002,TUE_1000,True,3
SF002,TUE_1100,True,2
SF002,TUE_1200,True,3
SF002,TUE_1400,True,4
SF002,TUE_1500,True,2
SF002,TUE_1600,True,3
SF002,WED_0900,True,3
SF002,WED_1000,True,3
SF002,WED_1100,True,2
SF002,WED_1200,True,2
SF002,WED_1400,True,2
SF002,WED_1500,True,2
SF002,WED_1600,True,3
SF002,THU_0900,True,3
SF002,THU_1000,True,3
SF002,THU_1100,True,2
SF002,THU_1200,True,2
SF002,THU_1400,True,3
SF002,THU_1500,True,3
SF002,THU_1600,True,3
SF002,FRI_0900,True,3
SF002,FRI_1000,True,2
SF002,FRI_1100,True,3
SF002,FRI_1200,True,4
SF002,FRI_1400,True,2
SF002,FRI_1500,True,4
SF002,FRI_1600,True,3
SF003,MON_0900,True,2
SF003,MON_1000,True,3
SF003,MON_1100,True,3
SF003,MON_1200,True,3
SF003,MON_1400,True,3
SF003,MON_1500,True,3
SF003,MON_1600,True,4
SF003,TUE_0900,True,3
SF003,TUE_1000,True,3
SF003,TUE_1100,True,3
SF003,TUE_1200,True,4
SF003,TUE_1400,True,3
SF003,TUE_1500,True,4
SF003,TUE_1600,True,2
SF003,WED_0900,True,4
SF003,WED_1000,True,3
SF003,WED_1100,True,3
SF003,WED_1200,True,3
