faculty_id,course_id,qualification_level,preferred
SF002,C_IT101,PRIMARY,True
SF001,C_IT101,SECONDARY,False
SF007,C_IT101,SECONDARY,False
SF006,C_IT102,PRIMARY,True
SF002,C_IT102,SECONDARY,False
SF005,C_IT102,SECONDARY,False
SF005,C_IT103,PRIMARY,True
SF002,C_IT103,SECONDARY,False
SF003,C_IT103,SECONDARY,False
SF006,C_IT104,PRIMARY,True
SF005,C_IT104,SECONDARY,False
SF004,C_IT104,SECONDARY,False
SF007,C_IT105,PRIMARY,True
SF008,C_IT105,SECONDARY,False
SF005,C_IT105,SECONDARY,False
SF001,C_IT201,PRIMARY,True
SF005,C_IT201,SECONDARY,False
SF006,C_IT201,SECONDARY,False
SF006,C_IT202,PRIMARY,True
SF008,C_IT202,SECONDARY,False
SF001,C_IT202,SECONDARY,False
SF008,C_IT203,PRIMARY,True
SF006,C_IT203,SECONDARY,False
SF003,C_IT203,SECONDARY,False
SF007,C_IT204,PRIMARY,True
SF004,C_IT204,SECONDARY,False
SF006,C_IT204,SECONDARY,False
SF008,C_OAE01,PRIMARY,True
SF004,C_OAE01,SECONDARY,False
SF002,C_OAE01,SECONDARY,False
SF007,C_OAE02,PRIMARY,True
SF003,C_OAE02,SECONDARY,False
SF002,C_OAE02,SECONDARY,False
SF009,C_MECH101,PRIMARY,True
SF012,C_MECH101,SECONDARY,False
SF013,C_MECH101,SECONDARY,False
SF012,C_MECH102,PRIMARY,True
SF009,C_MECH102,SECONDARY,False
SF010,C_MECH102,SECONDARY,False
SF012,C_MECH103,PRIMARY,True
SF010,C_MECH103,SECONDARY,False
SF013,C_MECH103,SECONDARY,False
SF011,C_MECH104,PRIMARY,True
SF013,C_MECH104,SECONDARY,False
SF014,C_MECH104,SECONDARY,False
SF009,C_MECH105,PRIMARY,True
SF010,C_MECH105,SECONDARY,False
SF012,C_MECH105,SECONDARY,False
SF010,C_MECH201,PRIMARY,True
SF014,C_MECH201,SECONDARY,False
SF012,C_MECH201,SECONDARY,False
SF013,C_MECH202,PRIMARY,True
SF010,C_MECH202,SECONDARY,False
SF014,C_MECH202,SECONDARY,False
SF010,C_MECH203,PRIMARY,True
SF014,C_MECH203,SECONDARY,False
SF011,C_MECH203,SECONDARY,False
SF013,C_MECH204,PRIMARY,True
SF009,C_MECH204,SECONDARY,False
SF012,C_MECH204,SECONDARY,False
SF018,C_CIVIL101,PRIMARY,True
SF016,C_CIVIL101,SECONDARY,False
SF020,C_CIVIL101,SECONDARY,False
SF019,C_CIVIL102,PRIMARY,True
SF018,C_CIVIL102,SECONDARY,False
SF015,C_CIVIL102,SECONDARY,False
SF019,C_CIVIL103,PRIMARY,True
SF018,C_CIVIL103,SECONDARY,False
SF016,C_CIVIL103,SECONDARY,False
SF016,C_CIVIL104,PRIMARY,True
SF020,C_CIVIL104,SECONDARY,False
SF018,C_CIVIL104,SECONDARY,False
SF015,C_CIVIL105,PRIMARY,True
SF019,C_CIVIL105,SECONDARY,False
SF018,C_CIVIL105,SECONDARY,False
SF017,C_CIVIL201,PRIMARY,True
SF019,C_CIVIL201,SECONDARY,False
SF020,C_CIVIL201,SECONDARY,False
SF016,C_CIVIL202,PRIMARY,True
SF018,C_CIVIL202,SECONDARY,False
SF017,C_CIVIL202,SECONDARY,False
SF019,C_CIVIL203,PRIMARY,True
SF016,C_CIVIL203,SECONDARY,False
SF018,C_CIVIL203,SECONDARY,False
SF016,C_CIVIL204,PRIMARY,True
SF017,C_CIVIL204,SECONDARY,False
SF018,C_CIVIL204,SECONDARY,False
SF001,C_OAE01,PRIMARY,True
SF005,C_OAE01,SECONDARY,False
SF006,C_OAE01,SECONDARY,False
SF001,C_OAE02,PRIMARY,True
SF003,C_OAE02,SECONDARY,False
SF006,C_OAE02,SECONDARY,False
