student_id,course_id,enrollment_type
SYNSTU0001,C_IT101,CORE
SYNSTU0002,C_IT101,CORE
SYNSTU0003,C_IT101,CORE
SYNSTU0004,C_IT101,CORE
SYNSTU0005,C_IT101,CORE
SYNSTU0006,C_IT101,CORE
SYNSTU0007,C_IT101,CORE
SYNSTU0008,C_IT101,CORE
SYNSTU0009,C_IT101,CORE
SYNSTU0010,C_IT101,CORE
SYNSTU0011,C_IT101,CORE
SYNSTU0012,C_IT101,CORE
SYNSTU0013,C_IT101,CORE
SYNSTU0014,C_IT101,CORE
SYNSTU0015,C_IT101,CORE
SYNSTU0016,C_IT101,CORE
SYNSTU0017,C_IT101,CORE
SYNSTU0018,C_IT101,CORE
SYNSTU0019,C_IT101,CORE
SYNSTU0020,C_IT101,CORE
SYNSTU0021,C_IT101,CORE
SYNSTU0022,C_IT101,CORE
SYNSTU0023,C_IT101,CORE
SYNSTU0024,C_IT101,CORE
SYNSTU0025,C_IT101,CORE
SYNSTU0026,C_IT101,CORE
SYNSTU0027,C_IT101,CORE
SYNSTU0028,C_IT101,CORE
SYNSTU0029,C_IT101,CORE
SYNSTU0030,C_IT101,CORE
SYNSTU0031,C_IT101,CORE
SYNSTU0032,C_IT101,CORE
SYNSTU0033,C_IT101,CORE
SYNSTU0034,C_IT101,CORE
SYNSTU0035,C_IT101,CORE
SYNSTU0036,C_IT101,CORE
SYNSTU0037,C_IT101,CORE
SYNSTU0038,C_IT101,CORE
SYNSTU0039,C_IT101,CORE
SYNSTU0040,C_IT101,CORE
SYNSTU0041,C_IT101,CORE
SYNSTU0042,C_IT101,CORE
SYNSTU0043,C_IT101,CORE
SYNSTU0044,C_IT101,CORE
SYNSTU0045,C_IT101,CORE
SYNSTU0046,C_IT101,CORE
SYNSTU0047,C_IT101,CORE
SYNSTU0048,C_IT101,CORE
SYNSTU0049,C_IT101,CORE
SYNSTU0050,C_IT101,CORE
SYNSTU0051,C_IT101,CORE
SYNSTU0052,C_IT101,CORE
SYNSTU0053,C_IT101,CORE
SYNSTU0054,C_IT101,CORE
SYNSTU0055,C_IT101,CORE
