slot_id,day,period_number,start_time,end_time,is_break
MON_0900,MON,1,09:00,10:00,False
MON_1000,MON,2,10:00,11:00,False
MON_1100,MON,3,11:00,12:00,False
MON_1200,MON,4,12:00,13:00,False
MON_1400,MON,5,14:00,15:00,False
MON_1500,MON,6,15:00,16:00,False
MON_1600,MON,7,16:00,17:00,False
TUE_0900,TUE,1,09:00,10:00,False
TUE_1000,TUE,2,10:00,11:00,False
TUE_1100,TUE,3,11:00,12:00,False
TUE_1200,TUE,4,12:00,13:00,False
TUE_1400,TUE,5,14:00,15:00,False
TUE_1500,TUE,6,15:00,16:00,False
TUE_1600,TUE,7,16:00,17:00,False
WED_0900,WED,1,09:00,10:00,False
WED_1000,WED,2,10:00,11:00,False
WED_1100,WED,3,11:00,12:00,False
WED_1200,WED,4,12:00,13:00,False
WED_1400,WED,5,14:00,15:00,False
WED_1500,WED,6,15:00,16:00,False
WED_1600,WED,7,16:00,17:00,False
THU_0900,THU,1,09:00,10:00,False
THU_1000,THU,2,10:00,11:00,False
THU_1100,THU,3,11:00,12:00,False
THU_1200,THU,4,12:00,13:00,False
THU_1400,THU,5,14:00,15:00,False
THU_1500,THU,6,15:00,16:00,False
THU_1600,THU,7,16:00,17:00,False
FRI_0900,FRI,1,09:00,10:00,False
FRI_1000,FRI,2,10:00,11:00,False
FRI_1100,FRI,3,11:00,12:00,False
FRI_1200,FRI,4,12:00,13:00,False
FRI_1400,FRI,5,14:00,15:00,False
FRI_1500,FRI,6,15:00,16:00,False
FRI_1600,FRI,7,16:00,17:00,False
