offering_id,course_id,section_id,session,slot_id,day,start_time,end_time,room_id,faculty_id
O0001,C001,S_CSE_1_A,1,WED_1200,WED,12:00,13:00,R007,F037
O0001,C001,S_CSE_1_A,2,TUE_1500,TUE,15:00,16:00,R008,F037
O0001,C001,S_CSE_1_A,3,FRI_1200,FRI,12:00,13:00,R009,F037
O0001,C001,S_CSE_1_A,4,THU_1500,THU,15:00,16:00,R005,F037
O0002,C002,S_CSE_1_A,1,THU_1100,THU,11:00,12:00,R009,F012
O0002,C002,S_CSE_1_A,2,FRI_1100,FRI,11:00,12:00,R009,F012
O0002,C002,S_CSE_1_A,3,MON_1600,MON,16:00,17:00,R002,F012
O0003,C003,S_CSE_1_A,1,THU_1400,THU,14:00,15:00,R004,F024
O0003,C003,S_CSE_1_A,2,FRI_1500,FRI,15:00,16:00,R010,F024
O0003,C003,S_CSE_1_A,3,MON_1500,MON,15:00,16:00,R010,F024
O0004,C004,S_CSE_1_A,1,MON_1400,MON,14:00,15:00,R011,F027
O0004,C004,S_CSE_1_A,2,FRI_1000,FRI,10:00,11:00,R011,F027
O0005,C005,S_CSE_1_A,1,FRI_0900,FRI,09:00,10:00,CL004,F001
O0005,C005,S_CSE_1_A,2,MON_1000,MON,10:00,11:00,CL006,F001
O0005,C005,S_CSE_1_A,3,TUE_1100,TUE,11:00,12:00,CL004,F001
O0005,C005,S_CSE_1_A,4,THU_1000,THU,10:00,11:00,CL004,F001
O0006,C006,S_CSE_1_A,1,MON_1100,MON,11:00,12:00,PL001,F025
O0007,C007,S_CSE_1_A,1,WED_1000,WED,10:00,11:00,W002,F027
O0008,C001,S_ECE_1_A,1,THU_0900,THU,09:00,10:00,R009,F003
O0008,C001,S_ECE_1_A,2,FRI_1100,FRI,11:00,12:00,R006,F003
O0008,C001,S_ECE_1_A,3,WED_1100,WED,11:00,12:00,R010,F003
O0008,C001,S_ECE_1_A,4,TUE_1200,TUE,12:00,13:00,R001,F003
O0009,C002,S_ECE_1_A,1,THU_1600,THU,16:00,17:00,R009,F028
O0009,C002,S_ECE_1_A,2,WED_1600,WED,16:00,17:00,R011,F028
O0009,C002,S_ECE_1_A,3,FRI_0900,FRI,09:00,10:00,R011,F028
O0010,C003,S_ECE_1_A,1,MON_1500,MON,15:00,16:00,R009,F038
O0010,C003,S_ECE_1_A,2,TUE_0900,TUE,09:00,10:00,R011,F038
O0010,C003,S_ECE_1_A,3,FRI_1000,FRI,10:00,11:00,R006,F038
O0011,C004,S_ECE_1_A,1,WED_0900,WED,09:00,10:00,R009,F029
O0011,C004,S_ECE_1_A,2,FRI_1400,FRI,14:00,15:00,R007,F029
O0012,C005,S_ECE_1_A,1,FRI_1200,FRI,12:00,13:00,CL004,F010
O0012,C005,S_ECE_1_A,2,TUE_1000,TUE,10:00,11:00,CL004,F010
O0012,C005,S_ECE_1_A,3,THU_1500,THU,15:00,16:00,CL004,F010
O0012,C005,S_ECE_1_A,4,WED_1200,WED,12:00,13:00,CL004,F010
O0013,C006,S_ECE_1_A,1,THU_1100,THU,11:00,12:00,PL001,F025
O0014,C007,S_ECE_1_A,1,WED_1400,WED,14:00,15:00,W002,F003
O0015,C001,S_AIML_1_A,1,TUE_1200,TUE,12:00,13:00,R008,F001
O0015,C001,S_AIML_1_A,2,THU_1500,THU,15:00,16:00,R002,F001
O0015,C001,S_AIML_1_A,3,WED_1100,WED,11:00,12:00,R002,F001
O0015,C001,S_AIML_1_A,4,MON_1100,MON,11:00,12:00,R005,F001
O0016,C002,S_AIML_1_A,1,THU_0900,THU,09:00,10:00,R006,F028
O0016,C002,S_AIML_1_A,2,FRI_1000,FRI,10:00,11:00,R008,F028
O0016,C002,S_AIML_1_A,3,MON_1500,MON,15:00,16:00,R004,F028
O0017,C003,S_AIML_1_A,1,MON_1400,MON,14:00,15:00,R002,F038
O0017,C003,S_AIML_1_A,2,THU_1100,THU,11:00,12:00,R008,F038
O0017,C003,S_AIML_1_A,3,FRI_0900,FRI,09:00,10:00,R005,F038
O0018,C004,S_AIML_1_A,1,THU_1000,THU,10:00,11:00,R003,F033
O0018,C004,S_AIML_1_A,2,WED_1600,WED,16:00,17:00,R009,F033
O0019,C005,S_AIML_1_A,1,THU_1400,THU,14:00,15:00,CL004,F002
O0019,C005,S_AIML_1_A,2,MON_1600,MON,16:00,17:00,CL004,F002
O0019,C005,S_AIML_1_A,3,WED_1500,WED,15:00,16:00,CL004,F002
O0019,C005,S_AIML_1_A,4,FRI_1100,FRI,11:00,12:00,CL004,F002
O0020,C006,S_AIML_1_A,1,TUE_1400,TUE,14:00,15:00,PL001,F021
O0021,C007,S_AIML_1_A,1,TUE_1000,TUE,10:00,11:00,W002,F038
O0022,C001,S_AR_1_A,1,THU_1200,THU,12:00,13:00,R001,F040
O0022,C001,S_AR_1_A,2,WED_0900,WED,09:00,10:00,R008,F040
O0022,C001,S_AR_1_A,3,TUE_1600,TUE,16:00,17:00,R007,F040
O0022,C001,S_AR_1_A,4,MON_1000,MON,10:00,11:00,R002,F040
O0023,C002,S_AR_1_A,1,WED_1200,WED,12:00,13:00,R001,F012
O0023,C002,S_AR_1_A,2,THU_1000,THU,10:00,11:00,R009,F012
O0023,C002,S_AR_1_A,3,TUE_1400,TUE,14:00,15:00,R007,F012
O0024,C003,S_AR_1_A,1,TUE_0900,TUE,09:00,10:00,R008,F024
O0024,C003,S_AR_1_A,2,THU_1500,THU,15:00,16:00,R004,F024
O0024,C003,S_AR_1_A,3,WED_1400,WED,14:00,15:00,R010,F024
O0025,C004,S_AR_1_A,1,MON_1600,MON,16:00,17:00,R009,F033
O0025,C004,S_AR_1_A,2,FRI_1600,FRI,16:00,17:00,R009,F033
O0026,C005,S_AR_1_A,1,FRI_1500,FRI,15:00,16:00,CL004,F012
O0026,C005,S_AR_1_A,2,TUE_1200,TUE,12:00,13:00,CL004,F012
O0026,C005,S_AR_1_A,3,THU_0900,THU,09:00,10:00,CL004,F012
O0026,C005,S_AR_1_A,4,MON_0900,MON,09:00,10:00,CL004,F012
O0027,C006,S_AR_1_A,1,WED_1500,WED,15:00,16:00,PL001,F021
O0028,C007,S_AR_1_A,1,FRI_1100,FRI,11:00,12:00,W002,F027
O0029,C008,S_CSE_2_A,1,WED_0900,WED,09:00,10:00,R006,F022
