offering_id,course_id,section_id,required_sessions,session_duration,student_count
OFF0001,C_AIDS_AR101,AIDS-I_B1,3,1,53
OFF0002,C_AIDS_AR102,AIDS-I_B1,3,1,53
OFF0003,C_AIDS_AR103,AIDS-I_B1,3,1,53
OFF0004,C_AIDS_AR104,AIDS-I_B1,3,1,53
OFF0005,C_AIDS_AR105,AIDS-I_B1,3,1,53
OFF0006,C_AIDS_AR106,AIDS-I_B1,3,1,53
OFF0007,C_AIDS_AR150,AIDS-I_B1,1,2,26
OFF0008,C_AIDS_AR150,AIDS-I_B1,1,2,27
OFF0009,C_AIDS_AR151,AIDS-I_B1,1,2,26
OFF0010,C_AIDS_AR151,AIDS-I_B1,1,2,27
OFF0011,C_AIDS_AR152,AIDS-I_B1,1,2,26
OFF0012,C_AIDS_AR152,AIDS-I_B1,1,2,27
OFF0013,C_AIDS_ARD201,AIDS-III_B1,3,1,62
OFF0014,C_AIDS_ARD202,AIDS-III_B1,3,1,62
OFF0015,C_AIDS_ARD203,AIDS-III_B1,3,1,62
OFF0016,C_AIDS_ARD204,AIDS-III_B1,3,1,62
OFF0017,C_AIDS_ARD205,AIDS-III_B1,3,1,62
OFF0018,C_AIDS_ARD250,AIDS-III_B1,1,2,30
OFF0019,C_AIDS_ARD250,AIDS-III_B1,1,2,32
OFF0020,C_AIDS_ARD251,AIDS-III_B1,1,2,30
OFF0021,C_AIDS_ARD251,AIDS-III_B1,1,2,32
OFF0022,C_AIDS_ARD252,AIDS-III_B1,1,2,30
OFF0023,C_AIDS_ARD252,AIDS-III_B1,1,2,32
OFF0024,C_AIDS_ARD301,AIDS-V_B1,4,1,54
OFF0025,C_AIDS_ARD302,AIDS-V_B1,4,1,54
OFF0026,C_AIDS_ARD303,AIDS-V_B1,4,1,54
OFF0027,C_AIDS_ARD353,AIDS-V_B1,1,2,26
OFF0028,C_AIDS_ARD353,AIDS-V_B1,1,2,28
OFF0029,C_AIDS_HS301,AIDS-V_B1,2,1,54
OFF0030,C_AIDS_ARD401,AIDS-VII_B1,3,1,57
OFF0031,C_AIDS_ARD402,AIDS-VII_B1,3,1,57
OFF0032,C_AIDS_ARD453,AIDS-VII_B1,1,2,28
OFF0033,C_AIDS_ARD453,AIDS-VII_B1,1,2,29
OFF0034,C_AIDS_AR101,AIDS-I_B2,3,1,56
OFF0035,C_AIDS_AR102,AIDS-I_B2,3,1,56
OFF0036,C_AIDS_AR103,AIDS-I_B2,3,1,56
OFF0037,C_AIDS_AR104,AIDS-I_B2,3,1,56
OFF0038,C_AIDS_AR105,AIDS-I_B2,3,1,56
OFF0039,C_AIDS_AR106,AIDS-I_B2,3,1,56
OFF0040,C_AIDS_AR150,AIDS-I_B2,1,2,27
OFF0041,C_AIDS_AR150,AIDS-I_B2,1,2,29
OFF0042,C_AIDS_AR151,AIDS-I_B2,1,2,27
OFF0043,C_AIDS_AR151,AIDS-I_B2,1,2,29
OFF0044,C_AIDS_AR152,AIDS-I_B2,1,2,27
OFF0045,C_AIDS_AR152,AIDS-I_B2,1,2,29
OFF0046,C_AIDS_ARD201,AIDS-III_B2,3,1,64
