course_id,course_code,course_name,department_id,course_type,course_category,credits,weekly_hours,sessions_per_week,session_duration,requires_lab,required_room_type,min_room_capacity,equipment_required
C_AIDS_AR101,AR-101,Mathematics I,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR102,AR-102,Applied Physics,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR103,AR-103,Programming Fundamentals,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR104,AR-104,Engineering Graphics,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR105,AR-105,Communication Skills,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR106,AR-106,Environmental Science,D_COMMON,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_AR150,AR-150,Programming Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AIDS_COM_LAB,34,
C_AIDS_AR151,AR-151,Electronics Workshop,D_COMMON,LAB,CORE,2,2,1,2,True,AIDS_ELE_LAB,34,
C_AIDS_AR152,AR-152,Physics Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AIDS_PHY_LAB,34,
C_AIDS_ARD201,ARD-201,AI & Data Science Core Principles I,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD202,ARD-202,Data Structures & Algorithms,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD203,ARD-203,AI & Data Science Systems Design,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD204,ARD-204,Discrete Mathematics,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD205,ARD-205,Professional Ethics,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD250,ARD-250,AI & Data Science Programming Lab,D_AIDS,LAB,CORE,2,2,1,2,True,AIDS_COM_LAB,34,
C_AIDS_ARD251,ARD-251,AI & Data Science Systems Lab,D_AIDS,LAB,CORE,2,2,1,2,True,AIDS_ELE_LAB,34,
C_AIDS_ARD252,ARD-252,AI & Data Science Design Lab,D_AIDS,LAB,CORE,2,2,1,2,True,AIDS_PHY_LAB,34,
C_AIDS_ARD301,ARD-301,AI & Data Science Advanced Topics I,D_AIDS,THEORY,CORE,3,4,4,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD302,ARD-302,AI & Data Science Advanced Topics II,D_AIDS,THEORY,CORE,3,4,4,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD303,ARD-303,AI & Data Science Analysis & Methods,D_AIDS,THEORY,CORE,3,4,4,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD353,ARD-353,AI & Data Science Applied Lab,D_AIDS,LAB,CORE,2,2,1,2,True,AIDS_COM_LAB,34,
C_AIDS_HS301,HSAIDS-301,Humanities & Management Elective,D_COMMON,THEORY,CORE,3,2,2,1,False,AIDS_CLASSROOM,68,
C_AIDS_OAEV1,OAE-1,Environmental Sustainability,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_OAEV2,OAE-2,Entrepreneurship Basics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_PCEV1,ARD-PCE-V1,AI & Data Science Professional Elective A,D_AIDS,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_PCEV2,ARD-PCE-V2,AI & Data Science Professional Elective B,D_AIDS,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_ARD401,ARD-401,AI & Data Science Capstone Theory I,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD402,ARD-402,AI & Data Science Capstone Theory II,D_AIDS,THEORY,CORE,3,3,3,1,False,AIDS_CLASSROOM,68,
C_AIDS_ARD453,ARD-453,AI & Data Science Capstone Lab,D_AIDS,LAB,CORE,2,2,1,2,True,AIDS_COM_LAB,34,
C_AIDS_OAEVII1,OAE-4,Social Media Analytics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_OAEVII2,OAE-5,Mobile App Development,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_PCEVII1,ARD-PCE-VII1,AI & Data Science Capstone Elective A,D_AIDS,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIDS_PCEVII2,ARD-PCE-VII2,AI & Data Science Capstone Elective B,D_AIDS,THEORY,ELECTIVE,3,2,2,1,False,AIDS_CLASSROOM,28,
C_AIML_AR101,AR-101,Mathematics I,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR102,AR-102,Applied Physics,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR103,AR-103,Programming Fundamentals,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR104,AR-104,Engineering Graphics,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR105,AR-105,Communication Skills,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR106,AR-106,Environmental Science,D_COMMON,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_AR150,AR-150,Programming Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AIML_COM_LAB,34,
C_AIML_AR151,AR-151,Electronics Workshop,D_COMMON,LAB,CORE,2,2,1,2,True,AIML_ELE_LAB,34,
C_AIML_AR152,AR-152,Physics Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AIML_PHY_LAB,34,
C_AIML_ARM201,ARM-201,AI & Machine Learning Core Principles I,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM202,ARM-202,Data Structures & Algorithms,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
