elective_group_id,course_id
EG_OAE_V,OAEV1
EG_OAE_V,OAEV2
EG_OAE_VII,OAEVII1
EG_OAE_VII,OAEVII2
EG_PCEV_AIDS,C_AIDS_PCEV1
EG_PCEV_AIDS,C_AIDS_PCEV2
EG_PCEVII_AIDS,C_AIDS_PCEVII1
EG_PCEVII_AIDS,C_AIDS_PCEVII2
EG_PCEV_AIML,C_AIML_PCEV1
EG_PCEV_AIML,C_AIML_PCEV2
EG_PCEVII_AIML,C_AIML_PCEVII1
EG_PCEVII_AIML,C_AIML_PCEVII2
EG_PCEV_AR,C_AR_PCEV1
EG_PCEV_AR,C_AR_PCEV2
EG_PCEVII_AR,C_AR_PCEVII1
EG_PCEVII_AR,C_AR_PCEVII2
EG_PCEV_IIOT,C_IIOT_PCEV1
EG_PCEV_IIOT,C_IIOT_PCEV2
EG_PCEVII_IIOT,C_IIOT_PCEVII1
EG_PCEVII_IIOT,C_IIOT_PCEVII2
