faculty_id,course_id,qualification_level,preferred
F0002,C_AIDS_AR101,PRIMARY,True
F0004,C_AIDS_AR101,SECONDARY,False
F0003,C_AIDS_AR101,SECONDARY,False
F0004,C_AIDS_AR102,PRIMARY,True
F0006,C_AIDS_AR102,SECONDARY,False
F0001,C_AIDS_AR102,SECONDARY,False
F0002,C_AIDS_AR103,PRIMARY,True
F0007,C_AIDS_AR103,SECONDARY,False
F0004,C_AIDS_AR103,SECONDARY,False
F0002,C_AIDS_AR104,PRIMARY,True
F0008,C_AIDS_AR104,SECONDARY,False
F0007,C_AIDS_AR104,SECONDARY,False
F0008,C_AIDS_AR105,PRIMARY,True
F0007,C_AIDS_AR105,SECONDARY,False
F0005,C_AIDS_AR105,SECONDARY,False
F0004,C_AIDS_AR106,PRIMARY,True
F0006,C_AIDS_AR106,SECONDARY,False
F0003,C_AIDS_AR106,SECONDARY,False
F0011,C_AIDS_AR150,PRIMARY,True
F0010,C_AIDS_AR150,SECONDARY,False
F0013,C_AIDS_AR150,SECONDARY,False
F0014,C_AIDS_AR151,PRIMARY,True
F0013,C_AIDS_AR151,SECONDARY,False
F0011,C_AIDS_AR151,SECONDARY,False
F0012,C_AIDS_AR152,PRIMARY,True
F0013,C_AIDS_AR152,SECONDARY,False
F0009,C_AIDS_AR152,SECONDARY,False
F0022,C_AIDS_ARD201,PRIMARY,True
F0025,C_AIDS_ARD201,SECONDARY,False
F0027,C_AIDS_ARD201,SECONDARY,False
F0024,C_AIDS_ARD202,PRIMARY,True
F0036,C_AIDS_ARD202,SECONDARY,False
F0026,C_AIDS_ARD202,SECONDARY,False
F0028,C_AIDS_ARD203,PRIMARY,True
F0027,C_AIDS_ARD203,SECONDARY,False
F0025,C_AIDS_ARD203,SECONDARY,False
F0033,C_AIDS_ARD204,PRIMARY,True
F0034,C_AIDS_ARD204,SECONDARY,False
F0023,C_AIDS_ARD204,SECONDARY,False
F0034,C_AIDS_ARD205,PRIMARY,True
F0025,C_AIDS_ARD205,SECONDARY,False
F0032,C_AIDS_ARD205,SECONDARY,False
F0027,C_AIDS_ARD250,PRIMARY,True
F0034,C_AIDS_ARD250,SECONDARY,False
F0021,C_AIDS_ARD250,SECONDARY,False
F0036,C_AIDS_ARD251,PRIMARY,True
F0030,C_AIDS_ARD251,SECONDARY,False
F0027,C_AIDS_ARD251,SECONDARY,False
F0032,C_AIDS_ARD252,PRIMARY,True
F0024,C_AIDS_ARD252,SECONDARY,False
F0025,C_AIDS_ARD252,SECONDARY,False
F0021,C_AIDS_ARD301,PRIMARY,True
F0023,C_AIDS_ARD301,SECONDARY,False
F0032,C_AIDS_ARD301,SECONDARY,False
F0022,C_AIDS_ARD302,PRIMARY,True
F0025,C_AIDS_ARD302,SECONDARY,False
F0023,C_AIDS_ARD302,SECONDARY,False
F0024,C_AIDS_ARD303,PRIMARY,True
F0022,C_AIDS_ARD303,SECONDARY,False
F0023,C_AIDS_ARD303,SECONDARY,False
F0022,C_AIDS_ARD353,PRIMARY,True
F0036,C_AIDS_ARD353,SECONDARY,False
F0030,C_AIDS_ARD353,SECONDARY,False
F0020,C_AIDS_HS301,PRIMARY,True
F0016,C_AIDS_HS301,SECONDARY,False
F0017,C_AIDS_HS301,SECONDARY,False
F0020,C_AIDS_OAEV1,PRIMARY,True
F0017,C_AIDS_OAEV1,SECONDARY,False
F0016,C_AIDS_OAEV1,SECONDARY,False
F0020,C_AIDS_OAEV2,PRIMARY,True
F0015,C_AIDS_OAEV2,SECONDARY,False
F0016,C_AIDS_OAEV2,SECONDARY,False
F0025,C_AIDS_PCEV1,PRIMARY,True
F0027,C_AIDS_PCEV1,SECONDARY,False
F0024,C_AIDS_PCEV1,SECONDARY,False
F0035,C_AIDS_PCEV2,PRIMARY,True
F0025,C_AIDS_PCEV2,SECONDARY,False
F0023,C_AIDS_PCEV2,SECONDARY,False
F0034,C_AIDS_ARD401,PRIMARY,True
F0031,C_AIDS_ARD401,SECONDARY,False
F0025,C_AIDS_ARD401,SECONDARY,False
F0024,C_AIDS_ARD402,PRIMARY,True
F0025,C_AIDS_ARD402,SECONDARY,False
F0031,C_AIDS_ARD402,SECONDARY,False
F0021,C_AIDS_ARD453,PRIMARY,True
F0031,C_AIDS_ARD453,SECONDARY,False
F0029,C_AIDS_ARD453,SECONDARY,False
F0016,C_AIDS_OAEVII1,PRIMARY,True
F0017,C_AIDS_OAEVII1,SECONDARY,False
F0019,C_AIDS_OAEVII1,SECONDARY,False
F0017,C_AIDS_OAEVII2,PRIMARY,True
F0020,C_AIDS_OAEVII2,SECONDARY,False
F0015,C_AIDS_OAEVII2,SECONDARY,False
F0025,C_AIDS_PCEVII1,PRIMARY,True
F0030,C_AIDS_PCEVII1,SECONDARY,False
F0032,C_AIDS_PCEVII1,SECONDARY,False
F0032,C_AIDS_PCEVII2,PRIMARY,True
F0029,C_AIDS_PCEVII2,SECONDARY,False
F0023,C_AIDS_PCEVII2,SECONDARY,False
F0043,C_AIML_AR101,PRIMARY,True
F0039,C_AIML_AR101,SECONDARY,False
F0040,C_AIML_AR101,SECONDARY,False
F0037,C_AIML_AR102,PRIMARY,True
F0042,C_AIML_AR102,SECONDARY,False
F0040,C_AIML_AR102,SECONDARY,False
F0044,C_AIML_AR103,PRIMARY,True
F0037,C_AIML_AR103,SECONDARY,False
F0041,C_AIML_AR103,SECONDARY,False
F0043,C_AIML_AR104,PRIMARY,True
F0041,C_AIML_AR104,SECONDARY,False
F0038,C_AIML_AR104,SECONDARY,False
F0042,C_AIML_AR105,PRIMARY,True
F0039,C_AIML_AR105,SECONDARY,False
F0041,C_AIML_AR105,SECONDARY,False
F0043,C_AIML_AR106,PRIMARY,True
F0038,C_AIML_AR106,SECONDARY,False
F0039,C_AIML_AR106,SECONDARY,False
F0048,C_AIML_AR150,PRIMARY,True
F0049,C_AIML_AR150,SECONDARY,False
F0047,C_AIML_AR150,SECONDARY,False
F0050,C_AIML_AR151,PRIMARY,True
F0048,C_AIML_AR151,SECONDARY,False
F0046,C_AIML_AR151,SECONDARY,False
F0046,C_AIML_AR152,PRIMARY,True
F0045,C_AIML_AR152,SECONDARY,False
F0048,C_AIML_AR152,SECONDARY,False
F0062,C_AIML_ARM201,PRIMARY,True
F0061,C_AIML_ARM201,SECONDARY,False
F0059,C_AIML_ARM201,SECONDARY,False
F0061,C_AIML_ARM202,PRIMARY,True
F0071,C_AIML_ARM202,SECONDARY,False
F0069,C_AIML_ARM202,SECONDARY,False
F0064,C_AIML_ARM203,PRIMARY,True
F0071,C_AIML_ARM203,SECONDARY,False
F0068,C_AIML_ARM203,SECONDARY,False
F0068,C_AIML_ARM204,PRIMARY,True
F0066,C_AIML_ARM204,SECONDARY,False
F0062,C_AIML_ARM204,SECONDARY,False
F0071,C_AIML_ARM205,PRIMARY,True
F0065,C_AIML_ARM205,SECONDARY,False
F0058,C_AIML_ARM205,SECONDARY,False
F0072,C_AIML_ARM250,PRIMARY,True
F0066,C_AIML_ARM250,SECONDARY,False
F0064,C_AIML_ARM250,SECONDARY,False
F0068,C_AIML_ARM251,PRIMARY,True
F0072,C_AIML_ARM251,SECONDARY,False
F0064,C_AIML_ARM251,SECONDARY,False
F0064,C_AIML_ARM252,PRIMARY,True
F0068,C_AIML_ARM252,SECONDARY,False
F0070,C_AIML_ARM252,SECONDARY,False
F0069,C_AIML_ARM301,PRIMARY,True
F0060,C_AIML_ARM301,SECONDARY,False
F0057,C_AIML_ARM301,SECONDARY,False
F0057,C_AIML_ARM302,PRIMARY,True
F0071,C_AIML_ARM302,SECONDARY,False
F0065,C_AIML_ARM302,SECONDARY,False
F0061,C_AIML_ARM303,PRIMARY,True
F0068,C_AIML_ARM303,SECONDARY,False
F0069,C_AIML_ARM303,SECONDARY,False
F0068,C_AIML_ARM353,PRIMARY,True
F0063,C_AIML_ARM353,SECONDARY,False
F0061,C_AIML_ARM353,SECONDARY,False
F0052,C_AIML_HS301,PRIMARY,True
F0056,C_AIML_HS301,SECONDARY,False
F0053,C_AIML_HS301,SECONDARY,False
F0052,C_AIML_OAEV1,PRIMARY,True
F0053,C_AIML_OAEV1,SECONDARY,False
F0055,C_AIML_OAEV1,SECONDARY,False
F0053,C_AIML_OAEV2,PRIMARY,True
F0055,C_AIML_OAEV2,SECONDARY,False
F0056,C_AIML_OAEV2,SECONDARY,False
F0070,C_AIML_PCEV1,PRIMARY,True
F0067,C_AIML_PCEV1,SECONDARY,False
F0058,C_AIML_PCEV1,SECONDARY,False
F0067,C_AIML_PCEV2,PRIMARY,True
F0070,C_AIML_PCEV2,SECONDARY,False
F0058,C_AIML_PCEV2,SECONDARY,False
F0068,C_AIML_ARM401,PRIMARY,True
F0065,C_AIML_ARM401,SECONDARY,False
F0070,C_AIML_ARM401,SECONDARY,False
F0062,C_AIML_ARM402,PRIMARY,True
F0071,C_AIML_ARM402,SECONDARY,False
F0069,C_AIML_ARM402,SECONDARY,False
F0058,C_AIML_ARM453,PRIMARY,True
F0061,C_AIML_ARM453,SECONDARY,False
F0065,C_AIML_ARM453,SECONDARY,False
F0056,C_AIML_OAEVII1,PRIMARY,True
F0055,C_AIML_OAEVII1,SECONDARY,False
F0054,C_AIML_OAEVII1,SECONDARY,False
F0051,C_AIML_OAEVII2,PRIMARY,True
F0052,C_AIML_OAEVII2,SECONDARY,False
F0056,C_AIML_OAEVII2,SECONDARY,False
F0071,C_AIML_PCEVII1,PRIMARY,True
F0070,C_AIML_PCEVII1,SECONDARY,False
F0067,C_AIML_PCEVII1,SECONDARY,False
F0065,C_AIML_PCEVII2,PRIMARY,True
F0072,C_AIML_PCEVII2,SECONDARY,False
F0063,C_AIML_PCEVII2,SECONDARY,False
F0078,C_AR_AR101,PRIMARY,True
F0076,C_AR_AR101,SECONDARY,False
F0079,C_AR_AR101,SECONDARY,False
F0078,C_AR_AR102,PRIMARY,True
F0079,C_AR_AR102,SECONDARY,False
F0075,C_AR_AR102,SECONDARY,False
F0075,C_AR_AR103,PRIMARY,True
F0077,C_AR_AR103,SECONDARY,False
F0073,C_AR_AR103,SECONDARY,False
F0080,C_AR_AR104,PRIMARY,True
F0074,C_AR_AR104,SECONDARY,False
F0079,C_AR_AR104,SECONDARY,False
F0080,C_AR_AR105,PRIMARY,True
F0075,C_AR_AR105,SECONDARY,False
F0079,C_AR_AR105,SECONDARY,False
F0078,C_AR_AR106,PRIMARY,True
F0076,C_AR_AR106,SECONDARY,False
F0079,C_AR_AR106,SECONDARY,False
F0082,C_AR_AR150,PRIMARY,True
F0081,C_AR_AR150,SECONDARY,False
F0084,C_AR_AR150,SECONDARY,False
F0083,C_AR_AR151,PRIMARY,True
F0085,C_AR_AR151,SECONDARY,False
F0084,C_AR_AR151,SECONDARY,False
F0081,C_AR_AR152,PRIMARY,True
F0082,C_AR_AR152,SECONDARY,False
F0086,C_AR_AR152,SECONDARY,False
F0107,C_AR_ARA201,PRIMARY,True
F0100,C_AR_ARA201,SECONDARY,False
F0103,C_AR_ARA201,SECONDARY,False
F0098,C_AR_ARA202,PRIMARY,True
F0099,C_AR_ARA202,SECONDARY,False
F0104,C_AR_ARA202,SECONDARY,False
F0107,C_AR_ARA203,PRIMARY,True
F0095,C_AR_ARA203,SECONDARY,False
