offering_id,course_id,section_id,session,slot_id,day,start_time,end_time,room_id,faculty_id
OFF0001,C_AIDS_AR101,AIDS-I_B1,1,TUE_1100,TUE,11:00,12:00,AIDS_CR08,F0002
OFF0001,C_AIDS_AR101,AIDS-I_B1,2,MON_1400,MON,14:00,15:00,AIDS_CR03,F0002
OFF0001,C_AIDS_AR101,AIDS-I_B1,3,FRI_0900,FRI,09:00,10:00,AIDS_CR05,F0002
OFF0002,C_AIDS_AR102,AIDS-I_B1,1,FRI_1000,FRI,10:00,11:00,AIDS_CR04,F0004
OFF0002,C_AIDS_AR102,AIDS-I_B1,2,THU_1500,THU,15:00,16:00,AIDS_CR08,F0004
OFF0002,C_AIDS_AR102,AIDS-I_B1,3,TUE_1200,TUE,12:00,13:00,AIDS_CR04,F0004
OFF0003,C_AIDS_AR103,AIDS-I_B1,1,FRI_1200,FRI,12:00,13:00,AIDS_CR06,F0004
OFF0003,C_AIDS_AR103,AIDS-I_B1,2,THU_1400,THU,14:00,15:00,AIDS_CR04,F0004
OFF0003,C_AIDS_AR103,AIDS-I_B1,3,TUE_1600,TUE,16:00,17:00,AIDS_CR07,F0004
OFF0004,C_AIDS_AR104,AIDS-I_B1,1,FRI_1400,FRI,14:00,15:00,AIDS_CR08,F0002
OFF0004,C_AIDS_AR104,AIDS-I_B1,2,MON_1500,MON,15:00,16:00,AIDS_CR03,F0002
OFF0004,C_AIDS_AR104,AIDS-I_B1,3,TUE_1000,TUE,10:00,11:00,AIDS_CR03,F0002
OFF0005,C_AIDS_AR105,AIDS-I_B1,1,TUE_0900,TUE,09:00,10:00,AIDS_CR01,F0007
OFF0005,C_AIDS_AR105,AIDS-I_B1,2,THU_1600,THU,16:00,17:00,AIDS_CR07,F0007
OFF0005,C_AIDS_AR105,AIDS-I_B1,3,FRI_1600,FRI,16:00,17:00,AIDS_CR04,F0007
OFF0006,C_AIDS_AR106,AIDS-I_B1,1,WED_0900,WED,09:00,10:00,AIDS_CR05,F0004
OFF0006,C_AIDS_AR106,AIDS-I_B1,2,FRI_1500,FRI,15:00,16:00,AIDS_CR05,F0004
OFF0006,C_AIDS_AR106,AIDS-I_B1,3,MON_1600,MON,16:00,17:00,AIDS_CR05,F0004
OFF0007,C_AIDS_AR150,AIDS-I_B1,1,THU_1100,THU,11:00,12:00,AIDS_COM01,F0011
OFF0008,C_AIDS_AR150,AIDS-I_B1,1,TUE_1400,TUE,14:00,15:00,AIDS_COM02,F0011
OFF0009,C_AIDS_AR151,AIDS-I_B1,1,WED_1400,WED,14:00,15:00,AIDS_ELE01,F0013
OFF0010,C_AIDS_AR151,AIDS-I_B1,1,MON_1000,MON,10:00,11:00,AIDS_ELE02,F0013
OFF0011,C_AIDS_AR152,AIDS-I_B1,1,WED_1100,WED,11:00,12:00,AIDS_PHY01,F0012
OFF0012,C_AIDS_AR152,AIDS-I_B1,1,THU_0900,THU,09:00,10:00,AIDS_PHY01,F0009
OFF0013,C_AIDS_ARD201,AIDS-III_B1,1,TUE_1400,TUE,14:00,15:00,AIDS_CR03,F0027
OFF0013,C_AIDS_ARD201,AIDS-III_B1,2,THU_1200,THU,12:00,13:00,AIDS_CR07,F0027
OFF0013,C_AIDS_ARD201,AIDS-III_B1,3,FRI_1200,FRI,12:00,13:00,AIDS_CR07,F0027
OFF0014,C_AIDS_ARD202,AIDS-III_B1,1,MON_1400,MON,14:00,15:00,AIDS_CR08,F0024
OFF0014,C_AIDS_ARD202,AIDS-III_B1,2,THU_1500,THU,15:00,16:00,AIDS_CR01,F0024
OFF0014,C_AIDS_ARD202,AIDS-III_B1,3,WED_1400,WED,14:00,15:00,AIDS_CR05,F0024
OFF0015,C_AIDS_ARD203,AIDS-III_B1,1,TUE_1500,TUE,15:00,16:00,AIDS_CR05,F0027
OFF0015,C_AIDS_ARD203,AIDS-III_B1,2,THU_1400,THU,14:00,15:00,AIDS_CR06,F0027
OFF0015,C_AIDS_ARD203,AIDS-III_B1,3,FRI_1400,FRI,14:00,15:00,AIDS_CR05,F0027
OFF0016,C_AIDS_ARD204,AIDS-III_B1,1,WED_1500,WED,15:00,16:00,AIDS_CR05,F0033
OFF0016,C_AIDS_ARD204,AIDS-III_B1,2,TUE_1000,TUE,10:00,11:00,AIDS_CR05,F0033
OFF0016,C_AIDS_ARD204,AIDS-III_B1,3,FRI_1100,FRI,11:00,12:00,AIDS_CR05,F0033
OFF0017,C_AIDS_ARD205,AIDS-III_B1,1,MON_0900,MON,09:00,10:00,AIDS_CR08,F0034
OFF0017,C_AIDS_ARD205,AIDS-III_B1,2,THU_1000,THU,10:00,11:00,AIDS_CR06,F0034
OFF0017,C_AIDS_ARD205,AIDS-III_B1,3,TUE_1600,TUE,16:00,17:00,AIDS_CR05,F0034
OFF0018,C_AIDS_ARD250,AIDS-III_B1,1,WED_1100,WED,11:00,12:00,AIDS_COM01,F0027
OFF0019,C_AIDS_ARD250,AIDS-III_B1,1,WED_0900,WED,09:00,10:00,AIDS_COM02,F0027
OFF0020,C_AIDS_ARD251,AIDS-III_B1,1,TUE_1100,TUE,11:00,12:00,AIDS_ELE02,F0027
OFF0021,C_AIDS_ARD251,AIDS-III_B1,1,MON_1000,MON,10:00,11:00,AIDS_ELE01,F0027
OFF0022,C_AIDS_ARD252,AIDS-III_B1,1,MON_1500,MON,15:00,16:00,AIDS_PHY02,F0025
OFF0023,C_AIDS_ARD252,AIDS-III_B1,1,FRI_1500,FRI,15:00,16:00,AIDS_PHY01,F0025
OFF0024,C_AIDS_ARD301,AIDS-V_B1,1,THU_1600,THU,16:00,17:00,AIDS_CR01,F0021
OFF0024,C_AIDS_ARD301,AIDS-V_B1,2,WED_1000,WED,10:00,11:00,AIDS_CR06,F0021
OFF0024,C_AIDS_ARD301,AIDS-V_B1,3,MON_1400,MON,14:00,15:00,AIDS_CR05,F0021
OFF0024,C_AIDS_ARD301,AIDS-V_B1,4,TUE_1200,TUE,12:00,13:00,AIDS_CR05,F0021
OFF0025,C_AIDS_ARD302,AIDS-V_B1,1,WED_1100,WED,11:00,12:00,AIDS_CR04,F0022
OFF0025,C_AIDS_ARD302,AIDS-V_B1,2,TUE_0900,TUE,09:00,10:00,AIDS_CR05,F0022
OFF0025,C_AIDS_ARD302,AIDS-V_B1,3,THU_1100,THU,11:00,12:00,AIDS_CR06,F0022
OFF0025,C_AIDS_ARD302,AIDS-V_B1,4,FRI_0900,FRI,09:00,10:00,AIDS_CR06,F0022
OFF0026,C_AIDS_ARD303,AIDS-V_B1,1,TUE_1100,TUE,11:00,12:00,AIDS_CR06,F0024
OFF0026,C_AIDS_ARD303,AIDS-V_B1,2,FRI_1200,FRI,12:00,13:00,AIDS_CR03,F0024
OFF0026,C_AIDS_ARD303,AIDS-V_B1,3,WED_0900,WED,09:00,10:00,AIDS_CR08,F0024
OFF0026,C_AIDS_ARD303,AIDS-V_B1,4,THU_1200,THU,12:00,13:00,AIDS_CR04,F0024
OFF0027,C_AIDS_ARD353,AIDS-V_B1,1,FRI_1400,FRI,14:00,15:00,AIDS_COM02,F0022
OFF0028,C_AIDS_ARD353,AIDS-V_B1,1,WED_1400,WED,14:00,15:00,AIDS_COM02,F0022
OFF0029,C_AIDS_HS301,AIDS-V_B1,1,MON_1500,MON,15:00,16:00,AIDS_CR07,F0016
OFF0029,C_AIDS_HS301,AIDS-V_B1,2,WED_1600,WED,16:00,17:00,AIDS_CR08,F0016
OFF0030,C_AIDS_ARD401,AIDS-VII_B1,1,WED_1000,WED,10:00,11:00,AIDS_CR07,F0025
OFF0030,C_AIDS_ARD401,AIDS-VII_B1,2,THU_1200,THU,12:00,13:00,AIDS_CR06,F0025
OFF0030,C_AIDS_ARD401,AIDS-VII_B1,3,FRI_1200,FRI,12:00,13:00,AIDS_CR02,F0025
OFF0031,C_AIDS_ARD402,AIDS-VII_B1,1,WED_0900,WED,09:00,10:00,AIDS_CR06,F0025
OFF0031,C_AIDS_ARD402,AIDS-VII_B1,2,FRI_1400,FRI,14:00,15:00,AIDS_CR02,F0025
OFF0031,C_AIDS_ARD402,AIDS-VII_B1,3,THU_1500,THU,15:00,16:00,AIDS_CR02,F0025
OFF0032,C_AIDS_ARD453,AIDS-VII_B1,1,MON_1500,MON,15:00,16:00,AIDS_COM02,F0021
OFF0033,C_AIDS_ARD453,AIDS-VII_B1,1,THU_0900,THU,09:00,10:00,AIDS_COM02,F0029
OFF0034,C_AIDS_AR101,AIDS-I_B2,1,FRI_1400,FRI,14:00,15:00,AIDS_CR07,F0004
OFF0034,C_AIDS_AR101,AIDS-I_B2,2,WED_1400,WED,14:00,15:00,AIDS_CR04,F0004
OFF0034,C_AIDS_AR101,AIDS-I_B2,3,TUE_1400,TUE,14:00,15:00,AIDS_CR05,F0004
OFF0035,C_AIDS_AR102,AIDS-I_B2,1,MON_1500,MON,15:00,16:00,AIDS_CR01,F0001
OFF0035,C_AIDS_AR102,AIDS-I_B2,2,FRI_1200,FRI,12:00,13:00,AIDS_CR01,F0001
OFF0035,C_AIDS_AR102,AIDS-I_B2,3,THU_1400,THU,14:00,15:00,AIDS_CR08,F0001
OFF0036,C_AIDS_AR103,AIDS-I_B2,1,FRI_1100,FRI,11:00,12:00,AIDS_CR08,F0002
OFF0036,C_AIDS_AR103,AIDS-I_B2,2,WED_1500,WED,15:00,16:00,AIDS_CR08,F0002
OFF0036,C_AIDS_AR103,AIDS-I_B2,3,MON_1000,MON,10:00,11:00,AIDS_CR01,F0002
