offering_id_a,offering_id_b,reason
OFF0007,OFF0008,"lab sub-batch (parallel groups, same section)"
OFF0009,OFF0010,"lab sub-batch (parallel groups, same section)"
OFF0011,OFF0012,"lab sub-batch (parallel groups, same section)"
OFF0018,OFF0019,"lab sub-batch (parallel groups, same section)"
OFF0020,OFF0021,"lab sub-batch (parallel groups, same section)"
OFF0022,OFF0023,"lab sub-batch (parallel groups, same section)"
OFF0027,OFF0028,"lab sub-batch (parallel groups, same section)"
OFF0032,OFF0033,"lab sub-batch (parallel groups, same section)"
OFF0040,OFF0041,"lab sub-batch (parallel groups, same section)"
OFF0042,OFF0043,"lab sub-batch (parallel groups, same section)"
OFF0044,OFF0045,"lab sub-batch (parallel groups, same section)"
OFF0051,OFF0052,"lab sub-batch (parallel groups, same section)"
OFF0053,OFF0054,"lab sub-batch (parallel groups, same section)"
OFF0055,OFF0056,"lab sub-batch (parallel groups, same section)"
OFF0060,OFF0061,"lab sub-batch (parallel groups, same section)"
OFF0065,OFF0066,"lab sub-batch (parallel groups, same section)"
OFF0073,OFF0074,"lab sub-batch (parallel groups, same section)"
OFF0075,OFF0076,"lab sub-batch (parallel groups, same section)"
OFF0077,OFF0078,"lab sub-batch (parallel groups, same section)"
OFF0084,OFF0085,"lab sub-batch (parallel groups, same section)"
OFF0086,OFF0087,"lab sub-batch (parallel groups, same section)"
OFF0088,OFF0089,"lab sub-batch (parallel groups, same section)"
OFF0093,OFF0094,"lab sub-batch (parallel groups, same section)"
OFF0098,OFF0099,"lab sub-batch (parallel groups, same section)"
OFF0106,OFF0107,"lab sub-batch (parallel groups, same section)"
OFF0108,OFF0109,"lab sub-batch (parallel groups, same section)"
OFF0110,OFF0111,"lab sub-batch (parallel groups, same section)"
OFF0117,OFF0118,"lab sub-batch (parallel groups, same section)"
OFF0119,OFF0120,"lab sub-batch (parallel groups, same section)"
OFF0121,OFF0122,"lab sub-batch (parallel groups, same section)"
OFF0126,OFF0127,"lab sub-batch (parallel groups, same section)"
OFF0131,OFF0132,"lab sub-batch (parallel groups, same section)"
OFF0139,OFF0140,"lab sub-batch (parallel groups, same section)"
OFF0141,OFF0142,"lab sub-batch (parallel groups, same section)"
OFF0143,OFF0144,"lab sub-batch (parallel groups, same section)"
OFF0150,OFF0151,"lab sub-batch (parallel groups, same section)"
OFF0152,OFF0153,"lab sub-batch (parallel groups, same section)"
OFF0154,OFF0155,"lab sub-batch (parallel groups, same section)"
OFF0159,OFF0160,"lab sub-batch (parallel groups, same section)"
OFF0164,OFF0165,"lab sub-batch (parallel groups, same section)"
OFF0172,OFF0173,"lab sub-batch (parallel groups, same section)"
OFF0174,OFF0175,"lab sub-batch (parallel groups, same section)"
OFF0176,OFF0177,"lab sub-batch (parallel groups, same section)"
OFF0183,OFF0184,"lab sub-batch (parallel groups, same section)"
OFF0185,OFF0186,"lab sub-batch (parallel groups, same section)"
OFF0187,OFF0188,"lab sub-batch (parallel groups, same section)"
OFF0192,OFF0193,"lab sub-batch (parallel groups, same section)"
OFF0197,OFF0198,"lab sub-batch (parallel groups, same section)"
OFF0205,OFF0206,"lab sub-batch (parallel groups, same section)"
OFF0207,OFF0208,"lab sub-batch (parallel groups, same section)"
