room_id,room_name,building,floor,room_type,capacity,has_projector,has_computers,has_ac,equipment
AIDS_CR01,Classroom 01,A,2,AIDS_CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR02,Classroom 02,B,3,AIDS_CLASSROOM,78,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR03,Classroom 03,C,4,AIDS_CLASSROOM,85,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR04,Classroom 04,D,1,AIDS_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR05,Classroom 05,E,2,AIDS_CLASSROOM,72,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR06,Classroom 06,A,3,AIDS_CLASSROOM,78,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR07,Classroom 07,B,4,AIDS_CLASSROOM,78,True,False,True,"PROJECTOR,WHITEBOARD"
AIDS_CR08,Classroom 08,C,1,AIDS_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR01,Classroom 01,A,2,AIML_CLASSROOM,85,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR02,Classroom 02,B,3,AIML_CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR03,Classroom 03,C,4,AIML_CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR04,Classroom 04,D,1,AIML_CLASSROOM,85,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR05,Classroom 05,E,2,AIML_CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR06,Classroom 06,A,3,AIML_CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR07,Classroom 07,B,4,AIML_CLASSROOM,72,True,False,True,"PROJECTOR,WHITEBOARD"
AIML_CR08,Classroom 08,C,1,AIML_CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR01,Classroom 01,A,2,AR_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR02,Classroom 02,B,3,AR_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR03,Classroom 03,C,4,AR_CLASSROOM,78,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR04,Classroom 04,D,1,AR_CLASSROOM,85,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR05,Classroom 05,E,2,AR_CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR06,Classroom 06,A,3,AR_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR07,Classroom 07,B,4,AR_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
AR_CR08,Classroom 08,C,1,AR_CLASSROOM,85,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR01,Classroom 01,A,2,IIOT_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR02,Classroom 02,B,3,IIOT_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR03,Classroom 03,C,4,IIOT_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR04,Classroom 04,D,1,IIOT_CLASSROOM,78,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR05,Classroom 05,E,2,IIOT_CLASSROOM,75,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR06,Classroom 06,A,3,IIOT_CLASSROOM,72,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR07,Classroom 07,B,4,IIOT_CLASSROOM,70,True,False,True,"PROJECTOR,WHITEBOARD"
IIOT_CR08,Classroom 08,C,1,IIOT_CLASSROOM,80,True,False,True,"PROJECTOR,WHITEBOARD"
LH01,Lecture Hall 01,MAIN,1,LECTURE_HALL,130,True,False,True,"PROJECTOR,AUDIO_SYSTEM,WHITEBOARD"
LH02,Lecture Hall 02,MAIN,1,LECTURE_HALL,100,True,False,True,"PROJECTOR,AUDIO_SYSTEM,WHITEBOARD"
LH03,Lecture Hall 03,MAIN,1,LECTURE_HALL,100,True,False,True,"PROJECTOR,AUDIO_SYSTEM,WHITEBOARD"
LH04,Lecture Hall 04,MAIN,1,LECTURE_HALL,130,True,False,True,"PROJECTOR,AUDIO_SYSTEM,WHITEBOARD"
AIDS_COM01,Com Lab 01,LABS,1,AIDS_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AIDS_COM02,Com Lab 02,LABS,1,AIDS_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AIDS_ELE01,Ele. Lab 01,LABS,1,AIDS_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AIDS_ELE02,Ele. Lab 02,LABS,1,AIDS_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AIDS_PHY01,Phy Lab 01,LABS,1,AIDS_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AIDS_PHY02,Phy Lab 02,LABS,1,AIDS_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AIML_COM01,Com Lab 01,LABS,1,AIML_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AIML_COM02,Com Lab 02,LABS,1,AIML_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AIML_ELE01,Ele. Lab 01,LABS,1,AIML_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AIML_ELE02,Ele. Lab 02,LABS,1,AIML_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AIML_PHY01,Phy Lab 01,LABS,1,AIML_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AIML_PHY02,Phy Lab 02,LABS,1,AIML_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AR_COM01,Com Lab 01,LABS,1,AR_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AR_COM02,Com Lab 02,LABS,1,AR_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
AR_ELE01,Ele. Lab 01,LABS,1,AR_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AR_ELE02,Ele. Lab 02,LABS,1,AR_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
AR_PHY01,Phy Lab 01,LABS,1,AR_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AR_PHY02,Phy Lab 02,LABS,1,AR_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
IIOT_COM01,Com Lab 01,LABS,1,IIOT_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
IIOT_COM02,Com Lab 02,LABS,1,IIOT_COM_LAB,38,False,True,True,"COMPUTERS,PROJECTOR"
IIOT_ELE01,Ele. Lab 01,LABS,1,IIOT_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
IIOT_ELE02,Ele. Lab 02,LABS,1,IIOT_ELE_LAB,36,False,False,True,ELECTRONICS_KITS
IIOT_PHY01,Phy Lab 01,LABS,1,IIOT_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
IIOT_PHY02,Phy Lab 02,LABS,1,IIOT_PHY_LAB,36,False,False,True,LAB_EQUIPMENT
AR_ROB_01,Robotics Lab 01,LABS,2,ROB_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
AR_ROB_02,Robotics Lab 02,LABS,2,ROB_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
AR_MATE01,Material Science Lab 01,LABS,2,MATERIAL_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
AR_MATE02,Material Science Lab 02,LABS,2,MATERIAL_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
AR_MECH01,Mechatronics Lab 01,LABS,2,MECHATRONIC_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
AR_MECH02,Mechatronics Lab 02,LABS,2,MECHATRONIC_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
IIOT_IIOT01,IIoT Lab 01,LABS,2,IIOT_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
IIOT_IIOT02,IIoT Lab 02,LABS,2,IIOT_LAB,36,False,False,True,SPECIALIZED_EQUIPMENT
