section_id,program_id,year,section_name,student_count
AIDS-I_B1,P_AIDS,1,B1,53
AIDS-I_B2,P_AIDS,1,B2,56
AIDS-III_B1,P_AIDS,2,B1,62
AIDS-III_B2,P_AIDS,2,B2,64
AIDS-V_B1,P_AIDS,3,B1,54
AIDS-V_B2,P_AIDS,3,B2,64
AIDS-VII_B1,P_AIDS,4,B1,57
AIDS-VII_B2,P_AIDS,4,B2,58
AIML-I_B1,P_AIML,1,B1,53
AIML-I_B2,P_AIML,1,B2,52
AIML-III_B1,P_AIML,2,B1,55
AIML-III_B2,P_AIML,2,B2,56
AIML-V_B1,P_AIML,3,B1,62
AIML-V_B2,P_AIML,3,B2,57
AIML-VII_B1,P_AIML,4,B1,53
AIML-VII_B2,P_AIML,4,B2,52
AR-I_B1,P_AR,1,B1,57
AR-I_B2,P_AR,1,B2,64
AR-III_B1,P_AR,2,B1,62
AR-III_B2,P_AR,2,B2,55
AR-V_B1,P_AR,3,B1,64
AR-V_B2,P_AR,3,B2,54
AR-VII_B1,P_AR,4,B1,59
AR-VII_B2,P_AR,4,B2,56
IIOT-I_B1,P_IIOT,1,B1,54
IIOT-I_B2,P_IIOT,1,B2,64
IIOT-III_B1,P_IIOT,2,B1,62
IIOT-III_B2,P_IIOT,2,B2,63
IIOT-V_B1,P_IIOT,3,B1,53
IIOT-V_B2,P_IIOT,3,B2,59
IIOT-VII_B1,P_IIOT,4,B1,53
IIOT-VII_B2,P_IIOT,4,B2,61
