student_id,course_id,enrollment_type
STU00001,C_AIDS_OAEV1,OAE
STU00001,C_AIDS_PCEV1,PCE
STU00002,C_AIDS_OAEV2,OAE
STU00002,C_AIDS_PCEV2,PCE
STU00003,C_AIDS_OAEV1,OAE
STU00003,C_AIDS_PCEV1,PCE
STU00004,C_AIDS_OAEV2,OAE
STU00004,C_AIDS_PCEV2,PCE
STU00005,C_AIDS_OAEV1,OAE
STU00005,C_AIDS_PCEV1,PCE
STU00006,C_AIDS_OAEV2,OAE
STU00006,C_AIDS_PCEV2,PCE
STU00007,C_AIDS_OAEV1,OAE
STU00007,C_AIDS_PCEV1,PCE
STU00008,C_AIDS_OAEV2,OAE
STU00008,C_AIDS_PCEV2,PCE
STU00009,C_AIDS_OAEV1,OAE
STU00009,C_AIDS_PCEV1,PCE
STU00010,C_AIDS_OAEV2,OAE
STU00010,C_AIDS_PCEV2,PCE
STU00011,C_AIDS_OAEV1,OAE
STU00011,C_AIDS_PCEV1,PCE
STU00012,C_AIDS_OAEV2,OAE
STU00012,C_AIDS_PCEV2,PCE
STU00013,C_AIDS_OAEV1,OAE
STU00013,C_AIDS_PCEV1,PCE
STU00014,C_AIDS_OAEV2,OAE
STU00014,C_AIDS_PCEV2,PCE
STU00015,C_AIDS_OAEV1,OAE
STU00015,C_AIDS_PCEV1,PCE
STU00016,C_AIDS_OAEV2,OAE
STU00016,C_AIDS_PCEV2,PCE
STU00017,C_AIDS_OAEV1,OAE
STU00017,C_AIDS_PCEV1,PCE
STU00018,C_AIDS_OAEV2,OAE
STU00018,C_AIDS_PCEV2,PCE
STU00019,C_AIDS_OAEV1,OAE
STU00019,C_AIDS_PCEV1,PCE
STU00020,C_AIDS_OAEV2,OAE
STU00020,C_AIDS_PCEV2,PCE
STU00021,C_AIDS_OAEV1,OAE
STU00021,C_AIDS_PCEV1,PCE
STU00022,C_AIDS_OAEV2,OAE
STU00022,C_AIDS_PCEV2,PCE
STU00023,C_AIDS_OAEV1,OAE
STU00023,C_AIDS_PCEV1,PCE
STU00024,C_AIDS_OAEV2,OAE
STU00024,C_AIDS_PCEV2,PCE
STU00025,C_AIDS_OAEV1,OAE
STU00025,C_AIDS_PCEV1,PCE
STU00026,C_AIDS_OAEV2,OAE
STU00026,C_AIDS_PCEV2,PCE
STU00027,C_AIDS_OAEV1,OAE
STU00027,C_AIDS_PCEV1,PCE
STU00028,C_AIDS_OAEV2,OAE
STU00028,C_AIDS_PCEV2,PCE
STU00029,C_AIDS_OAEV1,OAE
STU00029,C_AIDS_PCEV1,PCE
STU00030,C_AIDS_OAEV2,OAE
STU00030,C_AIDS_PCEV2,PCE
STU00031,C_AIDS_OAEV1,OAE
STU00031,C_AIDS_PCEV1,PCE
STU00032,C_AIDS_OAEV2,OAE
STU00032,C_AIDS_PCEV2,PCE
STU00033,C_AIDS_OAEV1,OAE
STU00033,C_AIDS_PCEV1,PCE
STU00034,C_AIDS_OAEV2,OAE
STU00034,C_AIDS_PCEV2,PCE
STU00035,C_AIDS_OAEV1,OAE
STU00035,C_AIDS_PCEV1,PCE
STU00036,C_AIDS_OAEV2,OAE
STU00036,C_AIDS_PCEV2,PCE
STU00037,C_AIDS_OAEV1,OAE
STU00037,C_AIDS_PCEV1,PCE
